ANMOIS;DEP;ARR;PC15_D;PC15_A;RETARD_D;RETARD_A
201403;LSGG;LFPG;;0,116;;5,3
201403;LSGG;LFBO;;0,161;;12,8
201403;LSGG;LFBD;;0,122;;6,3
201403;LSGG;LFMN;;0,086;;5,1
201403;LSGG;LFRS;;0,091;;5,0
201403;LSGG;LFPO;;0,134;;7,5
201403;LFSB;LFLL;0,000;0,000;1,2;0,1
201403;LFSB;LFPG;0,120;0,077;6,9;4,4
201403;LFSB;LFBO;0,095;0,048;4,4;1,9
201403;LFSB;LFBD;0,031;0,000;2,5;0,8
201403;LFSB;EBBR;0,096;;6,0;
201403;LFSB;LFMN;0,000;0,000;1,3;0,9
201403;LFSB;LKPR;0,150;;3,7;
201403;LFSB;LEMD;0,065;;3,9;
201403;LFSB;LFRS;0,000;0,000;1,7;0,3
201403;LFSB;LFPO;0,093;0,062;5,1;3,3
201403;LFSB;LEBL;0,012;;2,0;
201403;LFSB;LTFJ;0,065;;3,4;
201403;LFSB;LTBA;0,250;;8,3;
201403;LFSB;LPPT;0,167;;10,8;
201403;LFSB;LIPZ;0,050;;1,0;
201403;LFSB;GMMX;0,048;;6,0;
201403;LFSB;LEPA;0,105;;5,8;
201403;LFSB;LEMG;0,250;;20,5;
201403;LFSB;LPPR;0,190;;8,3;
201403;LFSB;EGPH;0,105;;5,2;
201403;LFSB;DABC;0,444;;18,1;
201403;LFSB;EGCC;0,174;;7,4;
201403;LFSB;EGLC;0,083;;3,6;
201403;LFSB;LIRF;0,053;;1,7;
201403;LFSB;LHBP;0,091;;5,0;
201403;LFSB;EDDM;0,018;;1,7;
201403;LFSB;LIRN;0,158;;6,7;
201403;LFSB;EDDH;0,048;;4,2;
201403;LFSB;EDDF;0,020;;2,6;
201403;LFSB;EDDC;0,000;;1,2;
201403;LFSB;LOWW;0,045;;1,9;
201403;LFSB;EKCH;0,000;;1,4;
201403;LFSB;EDDL;0,079;;3,5;
201403;LFSB;EDDB;0,045;;2,9;
201403;LFSB;EGKK;0,088;;5,7;
201403;LFSB;LEAL;0,000;;0,7;
201403;LFSB;EPKK;0,077;;3,9;
201403;LFSB;GCTS;0,000;;3,0;
201403;LFSB;GCFV;0,000;;2,9;
201403;LFSB;LGTS;0,100;;4,4;
201403;LFSB;LTAI;0,000;;2,0;
201403;LFSB;EHAM;0,102;;5,2;
201403;LFSB;GCLP;0,222;;6,1;
201403;LFSB;LEST;0,000;;1,4;
201403;LFSB;BKPR;0,273;;10,7;
201403;LFSB;LLBG;0,056;;1,8;
201403;LFSB;EGLL;0,082;;5,7;
201403;LFSB;LWSK;0,308;;17,1;
201403;LFML;LFRN;0,258;0,129;14,4;11,1
201403;LFML;LFLL;0,014;0,029;2,0;2,4
201403;LFML;LFPG;0,075;0,076;5,0;5,7
201403;LFML;LFBO;0,071;0,086;2,4;5,0
201403;LFML;LFBD;0,089;0,051;4,7;3,6
201403;LFML;EBBR;0,232;;10,5;
201403;LFML;LFKF;0,063;0,097;5,6;9,5
201403;LFML;LFKJ;0,065;0,161;4,5;8,4
201403;LFML;LFKC;0,000;;0,2;
201403;LFML;LEMD;0,299;;13,2;
201403;LFML;EGSS;0,548;;29,9;
201403;LFML;LFRS;0,093;0,100;7,9;8,4
201403;LFML;LFPO;0,102;0,094;5,1;5,6
201403;LFML;LFKB;0,032;;2,3;
201403;LFML;LEBL;0,118;;6,9;
201403;LFML;LTFJ;0,412;;10,1;
201403;LFML;LTBA;0,333;;14,7;
201403;LFML;LPPT;0,412;;27,1;
201403;LFML;LIPZ;0,053;;2,9;
201403;LFML;LIRA;0,429;;25,3;
201403;LFML;EBCI;0,387;;14,1;
201403;LFML;GMMX;0,246;;14,3;
201403;LFML;LFST;0,052;0,039;3,6;3,4
201403;LFML;GMFF;0,333;;11,1;
201403;LFML;EHEH;0,214;;13,8;
201403;LFML;LPPR;0,565;;32,0;
201403;LFML;LFQQ;0,070;;4,8;
201403;LFML;GMME;0,333;;11,3;
201403;LFML;LFRB;0,226;;8,7;
201403;LFML;GMMN;0,521;;21,8;
201403;LFML;DABC;0,279;;17,6;
201403;LFML;DAOO;0,500;;25,2;
201403;LFML;DAAS;0,000;;3,9;
201403;LFML;LGAV;0,000;;0,8;
201403;LFML;DTTA;0,644;;31,8;
201403;LFML;LIRF;0,063;;4,7;
201403;LFML;EDDM;0,072;;5,3;
201403;LFML;DAAG;0,348;;18,8;
201403;LFML;UUEE;0,267;;14,9;
201403;LFML;DABB;0,545;;41,0;
201403;LFML;EDDF;0,066;;4,6;
201403;LFML;EGKK;0,268;;12,1;
201403;LFML;DAAE;0,357;;30,8;
201403;LFML;DTTJ;0,364;;21,5;
201403;LFML;LIMC;0,014;;1,1;
201403;LFML;DAON;0,143;;14,4;
201403;LFML;EHAM;0,065;;5,9;
201403;LFML;LLBG;0,455;;19,5;
