ANMOIS;DEP;ARR;NVOLS;PAX_FS;FSC;ZON
200501;BIRK;LFPG;10;1264;MC;I
200501;CYQB;LFPG;4;992;LC;I
200501;CYUL;LFPG;106;25788;LC;I
200501;CYYZ;LFPG;59;11436;LC;I
200501;DAAE;LFLL;13;1168;MC;I
200501;DAAE;LFPO;34;3233;MC;I
200501;DAAG;LFBO;10;839;MC;I
200501;DAAG;LFJL;8;513;MC;I
200501;DAAG;LFLL;44;4240;MC;I
200501;DAAG;LFML;54;5725;MC;I
200501;DAAG;LFPG;32;4216;MC;I
200501;DAAG;LFPO;200;22381;MC;I
200501;DAAG;LFQQ;18;1534;MC;I
200501;DAAJ;LFML;5;555;MC;I
200501;DABB;LFML;12;1501;MC;I
200501;DABB;LFPO;13;1214;MC;I
200501;DABC;LFLL;22;1867;MC;I
200501;DABC;LFML;37;2781;MC;I
200501;DABC;LFPO;23;2126;MC;I
200501;DABC;LFSB;14;1177;MC;I
200501;DABT;LFML;9;632;MC;I
200501;DAON;LFML;9;519;MC;I
200501;DAON;LFPO;25;1944;MC;I
200501;DAOO;LFBO;17;1534;MC;I
200501;DAOO;LFLL;17;1765;MC;I
200501;DAOO;LFML;23;2532;MC;I
200501;DAOO;LFPO;49;6108;MC;I
200501;DAUG;LFPO;7;1163;MC;I
200501;DBBB;LFPG;18;3502;LC;I
200501;DFFD;LFPG;13;2482;LC;I
200501;DIAP;LFPG;18;2671;LC;I
200501;DNMM;LFPG;31;6799;LC;I
200501;DNPO;LFPG;13;2256;LC;I
200501;DRRN;LFML;4;512;LC;I
200501;DRRN;LFPG;9;1813;LC;I
200501;DTMB;LFBO;6;944;MC;I
200501;DTMB;LFLL;17;2084;MC;I
200501;DTMB;LFML;9;1072;MC;I
200501;DTMB;LFPG;10;1687;MC;I
200501;DTMB;LFPO;17;2214;MC;I
200501;DTMB;LFRS;7;1050;MC;I
200501;DTTA;LFBD;8;689;MC;I
200501;DTTA;LFBO;15;1553;MC;I
200501;DTTA;LFLL;49;4721;MC;I
200501;DTTA;LFML;66;7258;MC;I
200501;DTTA;LFMN;42;4790;MC;I
200501;DTTA;LFPG;141;16614;MC;I
200501;DTTA;LFPO;107;13368;MC;I
200501;DTTA;LFST;9;781;MC;I
200501;DTTJ;LFBD;5;859;MC;I
200501;DTTJ;LFLL;25;3310;MC;I
200501;DTTJ;LFML;19;2335;MC;I
200501;DTTJ;LFPG;35;5367;MC;I
200501;DTTJ;LFPO;70;9074;MC;I
200501;DTTJ;LFRS;11;1431;MC;I
200501;DTTJ;LFSB;7;1154;MC;I
200501;DTTX;LFPO;8;518;MC;I
200501;DTTZ;LFLL;8;897;MC;I
200501;DTTZ;LFPO;20;1860;MC;I
200501;DXXX;LFPG;15;3065;LC;I
200501;EBBR;LFBO;54;2181;MC;I
200501;EBBR;LFLC;41;858;MC;I
200501;EBBR;LFLL;186;4933;MC;I
200501;EBBR;LFML;71;1904;MC;I
200501;EBBR;LFMN;97;6901;MC;I
200501;EBBR;LFSB;91;1415;MC;I
200501;EBBR;LFST;66;1999;MC;I
200501;EBCI;LFMK;30;4100;MC;I
200501;EBLG;LFQQ;4;568;MC;I
200501;EDDB;LFMN;18;1879;MC;I
200501;EDDB;LFSB;60;7124;MC;I
200501;EDDF;LFBO;89;4118;MC;I
200501;EDDF;LFLL;220;9781;MC;I
200501;EDDF;LFML;124;4822;MC;I
200501;EDDF;LFMN;126;7015;MC;I
200501;EDDF;LFPG;668;39038;MC;I
200501;EDDF;LFSB;119;4755;MC;I
200501;EDDH;LFPG;163;9471;MC;I
200501;EDDH;LFSB;52;944;MC;I
200501;EDDK;LFML;12;828;MC;I
200501;EDDK;LFMN;23;1887;MC;I
200501;EDDK;LFPG;156;6730;MC;I
200501;EDDL;LFLL;112;2902;MC;I
200501;EDDL;LFMN;29;1377;MC;I
200501;EDDL;LFPG;287;12790;MC;I
200501;EDDL;LFSB;62;1449;MC;I
200501;EDDM;LFBD;44;868;MC;I
200501;EDDM;LFBO;117;3710;MC;I
200501;EDDM;LFLL;167;4768;MC;I
200501;EDDM;LFML;65;2215;MC;I
200501;EDDM;LFMN;113;4175;MC;I
200501;EDDM;LFPG;381;21910;MC;I
200501;EDDM;LFSB;137;3058;MC;I
200501;EDDN;LFPG;141;3711;MC;I
200501;EDDS;LFLL;53;1423;MC;I
200501;EDDS;LFMN;34;1645;MC;I
200501;EDDS;LFPG;243;9615;MC;I
200501;EDDS;LFSB;9;786;MC;I
200501;EDDT;LFPG;235;13771;MC;I
200501;EDDT;LFPO;59;7633;MC;I
200501;EDDT;LFSB;72;1521;MC;I
200501;EDDV;LFPG;204;5704;MC;I
200501;EDDW;LFBO;34;1107;MC;I
200501;EDDW;LFPG;71;1890;MC;I
200501;EDFH;LFMT;13;1559;MC;I
200501;EDHI;LFBO;68;4013;MC;I
200501;EDLW;LFMN;23;1671;MC;I
200501;EDLW;LFPG;51;4897;MC;I
200501;EETN;LFPG;13;853;MC;I
200501;EFHF;LFPG;111;10133;MC;I
200501;EFIV;LFPG;10;1243;MC;I
200501;EFKT;LFPG;6;650;MC;I
200501;EFRO;LFLL;4;817;MC;I
200501;EFRO;LFPG;15;1934;MC;I
200501;EGAA;LFBO;5;1094;MC;I
200501;EGAA;LFLB;5;540;MC;I
200501;EGAA;LFMN;18;1328;MC;I
