ANMOIS;DEP;ARR;NVOLS;PAX_FS;FSC;ZON
201101;BIKF;LFPG;21;2346;MC;I
201101;BKPR;LFSB;21;2897;MC;I
201101;CYQB;LFPG;5;1100;LC;I
201101;CYUL;LFPG;119;33916;LC;I
201101;CYYZ;LFPG;60;11021;LC;I
201101;DAAE;LFLL;9;790;MC;I
201101;DAAE;LFML;8;600;MC;I
201101;DAAE;LFPO;45;3856;MC;I
201101;DAAG;LFBD;5;560;MC;I
201101;DAAG;LFBO;23;1696;MC;I
201101;DAAG;LFJL;8;829;MC;I
201101;DAAG;LFLL;58;4689;MC;I
201101;DAAG;LFML;107;7630;MC;I
201101;DAAG;LFMN;9;727;MC;I
201101;DAAG;LFPG;150;13683;MC;I
201101;DAAG;LFPO;190;22542;MC;I
201101;DAAG;LFQQ;18;2124;MC;I
201101;DAAG;LFSB;6;565;MC;I
201101;DAAS;LFLL;31;2792;MC;I
201101;DAAS;LFPO;32;2566;MC;I
201101;DABB;LFLL;9;730;MC;I
201101;DABB;LFML;28;2149;MC;I
201101;DABB;LFPO;22;1610;MC;I
201101;DABC;LFLL;18;1695;MC;I
201101;DABC;LFML;45;3382;MC;I
201101;DABC;LFMN;9;638;MC;I
201101;DABC;LFPO;27;1962;MC;I
201101;DABC;LFSB;17;1434;MC;I
201101;DAOI;LFML;9;994;MC;I
201101;DAON;LFML;8;605;MC;I
201101;DAON;LFPO;34;2766;MC;I
201101;DAOO;LFBO;26;2294;MC;I
201101;DAOO;LFLL;22;2457;MC;I
201101;DAOO;LFML;36;3525;MC;I
201101;DAOO;LFPG;31;2363;MC;I
201101;DAOO;LFPO;66;8413;MC;I
201101;DAUB;LFPO;10;1080;MC;I
201101;DBBB;LFPG;20;4581;LC;I
201101;DFFD;LFPG;14;3152;LC;I
201101;DFFD;LFPO;6;640;LC;I
201101;DIAP;LFPG;26;3464;LC;I
201101;DNMM;LFPG;30;7012;LC;I
201101;DRRN;LFPG;17;3823;LC;I
201101;DTMB;LFLL;30;4051;MC;I
201101;DTMB;LFML;15;1843;MC;I
201101;DTMB;LFMN;19;2369;MC;I
201101;DTMB;LFPG;16;2710;MC;I
201101;DTMB;LFPO;37;5040;MC;I
201101;DTMB;LFRS;6;813;MC;I
201101;DTTA;LFBD;6;521;MC;I
