ANMOIS;APT;FSC;ZON;CAT;MVT;PAX;PEQ;CO2;NOX;COVNM;TSP
200801;LFBD;LC;I;B;15;1903;1903;0,017;0,100;0,006;0,003
200801;LFBD;MC;I;A;929;25980;26005;0,323;1,007;0,114;0,051
200801;LFBD;MC;I;B;373;28769;29709;0,359;1,488;0,062;0,057
200801;LFBD;MC;I;C;47;289;3062;0,087;0,435;0,052;0,014
200801;LFBD;CC;M;A;2;0;0;0,001;0,003;0,000;0,000
200801;LFBD;CC;M;B;1131;122613;127656;1,097;5,250;0,295;0,174
200801;LFBD;CC;M;A;907;21092;22006;0,307;1,027;0,157;0,049
200801;LFBD;CC;M;B;485;35398;35421;0,239;0,959;0,091;0,038
200801;LFBD;CC;M;C;12;0;407;0,018;0,104;0,003;0,003
200801;LFBO;LC;I;B;9;1630;1630;0,009;0,050;0,003;0,002
200801;LFBO;MC;I;A;1221;44716;45819;0,397;1,183;0,162;0,063
200801;LFBO;MC;I;B;1031;93518;94247;0,787;3,265;0,214;0,125
200801;LFBO;MC;I;C;164;8464;30711;0,331;1,835;0,166;0,053
200801;LFBO;LC;O;C;13;4747;4888;0,056;0,445;0,004;0,009
200801;LFBO;CC;M;A;31;0;405;0,007;0,018;0,013;0,001
200801;LFBO;CC;M;B;2176;250653;261032;2,103;9,625;0,575;0,334
200801;LFBO;CC;M;A;1393;44478;44487;0,411;1,286;0,261;0,065
200801;LFBO;CC;M;B;294;23931;24830;0,220;1,007;0,039;0,035
200801;LFBO;CC;M;C;152;4126;16683;0,292;1,685;0,122;0,046
200801;LFLL;LC;I;B;16;1762;1766;0,017;0,070;0,005;0,003
200801;LFLL;LC;I;C;20;7834;7894;0,075;0,423;0,013;0,012
200801;LFLL;MC;I;A;3360;99812;99961;1,314;3,798;0,610;0,209
200801;LFLL;MC;I;B;2415;199166;203572;1,817;7,069;0,671;0,288
200801;LFLL;MC;I;C;178;17376;34073;0,336;1,833;0,119;0,053
200801;LFLL;LC;O;C;11;5114;5379;0,059;0,391;0,005;0,009
200801;LFLL;CC;M;A;40;229;1076;0,011;0,023;0,018;0,002
200801;LFLL;CC;M;B;753;57677;61598;0,404;1,622;0,182;0,064
200801;LFLL;CC;M;C;12;3670;3670;0,051;0,340;0,005;0,008
200801;LFLL;CC;M;A;2262;68500;68528;0,803;2,405;0,635;0,127
200801;LFLL;CC;M;B;1425;107070;107126;0,752;3,039;0,256;0,119
200801;LFLL;CC;M;C;69;5931;8124;0,141;0,857;0,066;0,022
200801;LFML;LC;I;A;4;15;15;0,001;0,004;0,000;0,000
200801;LFML;LC;I;B;61;7205;7337;0,062;0,301;0,023;0,010
200801;LFML;LC;I;C;26;5329;5706;0,074;0,433;0,027;0,012
200801;LFML;MC;I;A;1521;51073;53344;0,450;1,307;0,302;0,071
