ANMOIS;DEP;ARR;NVOLS;PAX_FS;FSC;ZON
201401;BIKF;LFPG;40;4574;MC;I
201401;BKPR;LFSB;56;6828;MC;I
201401;CYUL;LFPG;122;34986;LC;I
201401;CYYZ;LFPG;53;11163;LC;I
201401;DAAE;LFLL;9;899;MC;I
201401;DAAE;LFML;13;1052;MC;I
201401;DAAE;LFPO;43;4891;MC;I
201401;DAAG;LFBD;4;563;MC;I
201401;DAAG;LFBO;23;2565;MC;I
201401;DAAG;LFJL;9;1258;MC;I
201401;DAAG;LFLL;66;7191;MC;I
201401;DAAG;LFML;157;12690;MC;I
201401;DAAG;LFMN;9;931;MC;I
201401;DAAG;LFPG;173;18961;MC;I
201401;DAAG;LFPO;256;36252;MC;I
201401;DAAG;LFQQ;18;2793;MC;I
201401;DAAG;LFSB;4;581;MC;I
201401;DAAS;LFLL;30;3347;MC;I
201401;DAAS;LFML;8;648;MC;I
201401;DAAS;LFPO;29;2965;MC;I
201401;DAAS;LFSB;5;567;MC;I
201401;DABB;LFLL;9;921;MC;I
201401;DABB;LFML;22;2429;MC;I
201401;DABB;LFPO;27;2813;MC;I
201401;DABC;LFLL;22;2301;MC;I
201401;DABC;LFML;44;3805;MC;I
201401;DABC;LFMN;9;845;MC;I
201401;DABC;LFPO;25;2520;MC;I
201401;DABC;LFSB;18;1877;MC;I
201401;DABT;LFPO;5;539;MC;I
201401;DAOI;LFML;9;1037;MC;I
201401;DAON;LFML;13;1193;MC;I
201401;DAON;LFPO;35;3856;MC;I
201401;DAOO;LFBO;44;3820;MC;I
201401;DAOO;LFLL;35;3564;MC;I
201401;DAOO;LFML;53;5404;MC;I
201401;DAOO;LFPG;54;4951;MC;I
201401;DAOO;LFPO;66;8475;MC;I
201401;DAOO;LFQQ;8;943;MC;I
201401;DAOO;LFSB;5;614;MC;I
201401;DAUB;LFPO;9;1094;MC;I
201401;DBBB;LFPG;19;4544;LC;I
201401;DFFD;LFPG;11;1741;LC;I
201401;DIAP;LFPG;41;9323;LC;I
201401;DIAP;LFPO;13;2554;LC;I
201401;DNAA;LFPG;30;6008;LC;I
201401;DNMM;LFPG;31;5738;LC;I
201401;DRRN;LFPG;24;4294;LC;I
201401;DTMB;LFLL;17;2217;MC;I
201401;DTMB;LFMN;10;1237;MC;I
201401;DTMB;LFPG;6;956;MC;I
201401;DTMB;LFPO;34;4929;MC;I
201401;DTTA;LFBD;7;658;MC;I
201401;DTTA;LFBO;24;2674;MC;I
201401;DTTA;LFLL;42;6124;MC;I
201401;DTTA;LFML;84;7925;MC;I
201401;DTTA;LFMN;35;4911;MC;I
201401;DTTA;LFPG;139;15983;MC;I
201401;DTTA;LFPO;146;19351;MC;I
201401;DTTA;LFRS;11;1100;MC;I
201401;DTTA;LFST;9;946;MC;I
201401;DTTJ;LFLL;13;1787;MC;I
201401;DTTJ;LFML;5;593;MC;I
201401;DTTJ;LFPG;30;4397;MC;I
201401;DTTJ;LFPO;37;5557;MC;I
201401;DTTJ;LFRS;17;1807;MC;I
201401;DTTX;LFPG;14;1670;MC;I
201401;DTTZ;LFLL;7;836;MC;I
201401;DTTZ;LFPO;6;626;MC;I
201401;DXXX;LFPG;16;3859;LC;I
201401;EBBR;LFBO;94;6114;MC;I
201401;EBBR;LFLL;165;8412;MC;I
201401;EBBR;LFML;67;2960;MC;I
201401;EBBR;LFMN;89;8462;MC;I
201401;EBBR;LFPG;83;5065;MC;I
201401;EBBR;LFRS;51;1182;MC;I
201401;EBBR;LFSB;73;4803;MC;I
201401;EBBR;LFST;34;832;MC;I
201401;EBCI;LFBD;17;2441;MC;I
201401;EBCI;LFMK;27;3131;MC;I
201401;EBCI;LFML;31;3573;MC;I
201401;EBCI;LFMP;9;1019;MC;I
201401;EBCI;LFMT;12;1503;MC;I
201401;EBCI;LFTH;9;748;MC;I
201401;EBCI;LFTW;18;2092;MC;I
201401;EDDB;LFLL;11;1430;MC;I
201401;EDDB;LFMN;23;2538;MC;I
201401;EDDB;LFPO;81;12996;MC;I
201401;EDDB;LFSB;102;13928;MC;I
201401;EDDC;LFSB;12;1629;MC;I
201401;EDDF;LFBO;91;5163;MC;I
201401;EDDF;LFLL;89;7088;MC;I
201401;EDDF;LFML;62;5023;MC;I
201401;EDDF;LFMN;94;6922;MC;I
201401;EDDF;LFPG;385;30794;MC;I
201401;EDDF;LFSB;153;5166;MC;I
201401;EDDH;LFBO;14;985;MC;I
201401;EDDH;LFPG;163;14439;MC;I
201401;EDDH;LFSB;93;8693;MC;I
201401;EDDK;LFMN;11;994;MC;I
201401;EDDK;LFPG;120;1056;MC;I
201401;EDDL;LFLL;55;2995;MC;I
201401;EDDL;LFPG;212;15894;MC;I
201401;EDDL;LFRS;15;544;MC;I
201401;EDDL;LFSB;61;3681;MC;I
201401;EDDM;LFBO;115;7345;MC;I
201401;EDDM;LFLL;97;8193;MC;I
201401;EDDM;LFML;127;6300;MC;I
201401;EDDM;LFMN;84;5828;MC;I
201401;EDDM;LFPG;352;31924;MC;I
201401;EDDM;LFSB;133;4699;MC;I
201401;EDDN;LFPG;120;5232;MC;I
201401;EDDP;LFPG;101;988;MC;I
201401;EDDS;LFPG;109;6787;MC;I
201401;EDDT;LFPG;177;20831;MC;I
201401;EDDT;LFPO;53;5054;MC;I
201401;EDDV;LFPG;131;5150;MC;I
201401;EDDW;LFPG;104;3603;MC;I
201401;EDFH;LFMT;8;673;MC;I
201401;EDHI;LFBO;69;3395;MC;I
201401;EDMA;LFML;42;826;MC;I
201401;EFHK;LFPG;159;14301;MC;I
201401;EFHK;LFPO;14;1952;MC;I
201401;EFKT;LFPG;9;1167;MC;I
201401;EFKT;LFPO;4;682;MC;I
201401;EFRO;LFPG;8;1248;MC;I
201401;EGAA;LFPG;37;2644;MC;I
201401;EGBB;LFLB;16;1602;MC;I
201401;EGBB;LFLL;32;1495;MC;I
201401;EGBB;LFLS;16;2515;MC;I
201401;EGBB;LFPG;175;13447;MC;I
201401;EGCC;LFBO;3;563;MC;I
201401;EGCC;LFLB;17;3191;MC;I
201401;EGCC;LFLL;9;1138;MC;I
201401;EGCC;LFLS;29;4483;MC;I
201401;EGCC;LFPG;187;17621;MC;I
201401;EGCC;LFSB;15;2035;MC;I
201401;EGFF;LFPG;19;950;MC;I
201401;EGGD;LFBO;53;3646;MC;I
201401;EGGD;LFLB;12;1908;MC;I
201401;EGGD;LFLS;8;910;MC;I
201401;EGGD;LFMN;9;1191;MC;I
201401;EGGD;LFPG;52;4994;MC;I
201401;EGGP;LFBL;10;1218;MC;I
201401;EGGP;LFMK;8;1108;MC;I
201401;EGGP;LFMN;12;1534;MC;I
201401;EGGP;LFPG;20;2653;MC;I
201401;EGGW;LFBD;14;1425;MC;I
201401;EGGW;LFLS;10;699;MC;I
201401;EGGW;LFMN;29;2970;MC;I
201401;EGGW;LFPG;76;9708;MC;I
201401;EGGW;LFTW;15;1711;MC;I
201401;EGHI;LFLB;12;804;MC;I
201401;EGHI;LFPO;65;2381;MC;I
201401;EGKK;LFBD;65;7029;MC;I
201401;EGKK;LFBO;65;8534;MC;I
201401;EGKK;LFLB;32;4243;MC;I
201401;EGKK;LFLL;79;11090;MC;I
201401;EGKK;LFLS;80;12566;MC;I
201401;EGKK;LFML;28;3302;MC;I
201401;EGKK;LFMN;140;13550;MC;I
201401;EGKK;LFMT;21;2595;MC;I
201401;EGKK;LFRS;20;2412;MC;I
201401;EGKK;LFSB;64;7909;MC;I
201401;EGLC;LFPO;135;2876;MC;I
201401;EGLC;LFRS;31;892;MC;I
201401;EGLC;LFSB;51;2257;MC;I
201401;EGLL;LFBO;89;7641;MC;I
201401;EGLL;LFLL;69;7382;MC;I
201401;EGLL;LFLS;5;517;MC;I
201401;EGLL;LFML;92;7181;MC;I
201401;EGLL;LFMN;124;10066;MC;I
201401;EGLL;LFPG;393;42334;MC;I
201401;EGLL;LFPO;102;10357;MC;I
201401;EGLL;LFSB;96;7253;MC;I
201401;EGNM;LFLB;4;795;MC;I
201401;EGNM;LFLS;8;539;MC;I
201401;EGNM;LFPG;18;1593;MC;I
201401;EGNT;LFLB;4;500;MC;I
201401;EGNT;LFPG;98;4770;MC;I
201401;EGNX;LFBL;14;1427;MC;I
201401;EGNX;LFLB;15;1404;MC;I
201401;EGPD;LFPG;82;3287;MC;I
201401;EGPF;LFLB;4;874;MC;I
201401;EGPF;LFPG;20;2977;MC;I
201401;EGPH;LFLB;11;1173;MC;I
201401;EGPH;LFLL;6;728;MC;I
201401;EGPH;LFLS;5;561;MC;I
201401;EGPH;LFOB;14;1466;MC;I
201401;EGPH;LFPG;106;8372;MC;I
201401;EGPH;LFSB;12;1460;MC;I
201401;EGSS;LFBE;14;1765;MC;I
201401;EGSS;LFBH;13;1318;MC;I
201401;EGSS;LFBI;10;1063;MC;I
201401;EGSS;LFBL;17;2004;MC;I
201401;EGSS;LFBT;8;858;MC;I
201401;EGSS;LFBZ;10;1170;MC;I
201401;EGSS;LFLB;11;1436;MC;I
201401;EGSS;LFLL;25;3136;MC;I
201401;EGSS;LFLS;23;2646;MC;I
201401;EGSS;LFMK;15;1967;MC;I
201401;EGSS;LFML;30;3694;MC;I
201401;EGSS;LFMN;16;1453;MC;I
201401;EGSS;LFOT;8;698;MC;I
201401;EGSS;LFRD;14;1834;MC;I
201401;EGSS;LFST;13;1146;MC;I
201401;EGTE;LFPG;30;1359;MC;I
201401;EHAM;LFBD;62;4412;MC;I
201401;EHAM;LFBO;88;6438;MC;I
201401;EHAM;LFLL;93;6682;MC;I
201401;EHAM;LFML;82;6577;MC;I
