ANMOIS;DEP;ARR;NVOLS;PAX_FS;FSC;ZON
201201;BIKF;LFPG;21;2610;MC;I
201201;BKPR;LFSB;41;6200;MC;I
201201;CYQB;LFPG;5;1070;LC;I
201201;CYUL;LFPG;121;35105;LC;I
201201;CYYZ;LFPG;60;10525;LC;I
201201;DAAE;LFLL;9;814;MC;I
201201;DAAE;LFML;8;599;MC;I
201201;DAAE;LFPO;43;4227;MC;I
201201;DAAG;LFBD;5;661;MC;I
201201;DAAG;LFBO;22;1901;MC;I
201201;DAAG;LFJL;9;1083;MC;I
201201;DAAG;LFLL;62;5439;MC;I
201201;DAAG;LFML;107;8900;MC;I
201201;DAAG;LFMN;8;667;MC;I
201201;DAAG;LFPG;161;15250;MC;I
201201;DAAG;LFPO;200;25281;MC;I
201201;DAAG;LFQQ;16;1972;MC;I
201201;DAAS;LFLL;29;2870;MC;I
201201;DAAS;LFML;9;662;MC;I
201201;DAAS;LFPO;30;2609;MC;I
201201;DABB;LFLL;8;702;MC;I
201201;DABB;LFML;27;2097;MC;I
201201;DABB;LFPG;8;511;MC;I
201201;DABB;LFPO;19;1707;MC;I
201201;DABC;LFLL;18;1668;MC;I
201201;DABC;LFML;48;3350;MC;I
201201;DABC;LFMN;9;752;MC;I
201201;DABC;LFPO;31;2557;MC;I
201201;DABC;LFSB;17;1571;MC;I
201201;DABT;LFPO;8;549;MC;I
201201;DAOI;LFML;13;1191;MC;I
201201;DAON;LFML;13;846;MC;I
201201;DAON;LFPO;35;2970;MC;I
201201;DAOO;LFBO;27;2700;MC;I
201201;DAOO;LFLL;26;2636;MC;I
201201;DAOO;LFML;36;3529;MC;I
201201;DAOO;LFPG;34;3509;MC;I
201201;DAOO;LFPO;63;8069;MC;I
201201;DAOO;LFQQ;9;631;MC;I
201201;DAUB;LFPO;9;1036;MC;I
201201;DBBB;LFPG;22;4843;LC;I
201201;DFFD;LFPG;14;3293;LC;I
201201;DFFD;LFPO;5;569;LC;I
201201;DIAP;LFPG;29;7802;LC;I
201201;DNMM;LFPG;30;8268;LC;I
201201;DRRN;LFPG;19;3329;LC;I
201201;DTMB;LFLL;22;2559;MC;I
201201;DTMB;LFML;7;726;MC;I
201201;DTMB;LFMN;14;1801;MC;I
201201;DTMB;LFPG;11;1654;MC;I
201201;DTMB;LFPO;45;6310;MC;I
201201;DTMB;LFRS;6;929;MC;I
201201;DTTA;LFBD;9;889;MC;I
201201;DTTA;LFBO;28;2577;MC;I
201201;DTTA;LFLL;73;7406;MC;I
201201;DTTA;LFML;101;8580;MC;I
201201;DTTA;LFMN;42;4830;MC;I
201201;DTTA;LFPG;137;15610;MC;I
201201;DTTA;LFPO;140;16909;MC;I
