ANMOIS;DEP;ARR;NVOLS;PAX_FS;FSC;ZON
199501;CYMX;LFPG;79;13499;LC;I
199501;CYMX;LFPO;9;2967;LC;I
199501;CYQX;LFSB;5;940;LC;I
199501;CYYZ;LFPG;62;6461;LC;I
199501;DAAE;LFPO;13;1247;MC;I
199501;DAAG;LFLL;17;1830;MC;I
199501;DAAG;LFML;33;4604;MC;I
199501;DAAG;LFPO;72;15192;MC;I
199501;DAAG;LFQQ;9;989;MC;I
199501;DABB;LFML;14;1635;MC;I
199501;DABB;LFPO;8;818;MC;I
199501;DABC;LFLL;13;1460;MC;I
199501;DABC;LFML;20;3037;MC;I
199501;DABC;LFPO;13;1624;MC;I
199501;DAON;LFPO;9;961;MC;I
199501;DAOO;LFLL;4;541;MC;I
199501;DAOO;LFML;14;2404;MC;I
199501;DAOO;LFPO;17;3104;MC;I
199501;DAUG;LFPG;14;1515;MC;I
199501;DBBB;LFPG;5;688;LC;I
199501;DFFD;LFPG;27;3083;LC;I
199501;DIAP;LFBD;4;584;LC;I
199501;DIAP;LFML;4;543;LC;I
199501;DIAP;LFMN;5;694;LC;I
199501;DIAP;LFPO;5;2185;LC;I
199501;DNMM;LFPG;14;2752;LC;I
199501;DRRN;LFPG;19;2164;LC;I
199501;DTMB;LFLL;5;614;MC;I
199501;DTMB;LFML;5;582;MC;I
199501;DTMB;LFPO;16;2165;MC;I
199501;DTTA;LFBO;9;920;MC;I
199501;DTTA;LFLL;32;3521;MC;I
199501;DTTA;LFML;55;6005;MC;I
199501;DTTA;LFMN;33;3754;MC;I
199501;DTTA;LFPO;118;14807;MC;I
199501;DTTJ;LFPO;33;4543;MC;I
199501;DTTX;LFPO;9;847;MC;I
199501;DXXX;LFPG;7;735;LC;I
199501;EBBR;LFBD;78;1606;MC;I
199501;EBBR;LFBO;47;511;MC;I
199501;EBBR;LFLL;150;4770;MC;I
199501;EBBR;LFML;78;1936;MC;I
199501;EBBR;LFMN;138;4843;MC;I
199501;EBBR;LFPG;256;16218;MC;I
199501;EBBR;LFPO;53;866;MC;I
199501;EBBR;LFSB;189;2402;MC;I
199501;EBBR;LFST;67;1579;MC;I
199501;EDDF;LFLL;76;4350;MC;I
199501;EDDF;LFMN;60;4752;MC;I
199501;EDDF;LFPG;439;31537;MC;I
199501;EDDF;LFPO;64;3453;MC;I
199501;EDDF;LFSB;109;1739;MC;I
199501;EDDH;LFPG;157;7198;MC;I
199501;EDDH;LFSB;42;649;MC;I
199501;EDDK;LFPG;206;4751;MC;I
199501;EDDL;LFLL;48;1101;MC;I
199501;EDDL;LFMN;30;844;MC;I
199501;EDDL;LFPG;193;11720;MC;I
199501;EDDL;LFSB;66;1380;MC;I
199501;EDDM;LFBO;30;707;MC;I
199501;EDDM;LFLL;41;838;MC;I
199501;EDDM;LFMN;31;1197;MC;I
199501;EDDM;LFPG;290;16036;MC;I
199501;EDDM;LFPO;6;625;MC;I
199501;EDDM;LFSB;102;1952;MC;I
199501;EDDN;LFPG;79;1997;MC;I
199501;EDDS;LFPG;123;6860;MC;I
199501;EDDT;LFPG;153;8243;MC;I
199501;EDDT;LFSB;72;1121;MC;I
199501;EDDV;LFPG;125;2766;MC;I
