ANMOIS;DEP;ARR;PC15_D;PC15_A;RETARD_D;RETARD_A
201511;LFLL;EBBR;0,174;;8,6;
201511;LFLL;LFML;0,074;0,059;3,8;2,7
201511;LFLL;LFBD;0,104;0,100;7,0;5,9
201511;LFLL;LFMN;0,051;0,039;3,2;2,6
201511;LFLL;LFST;0,127;0,159;6,5;7,2
201511;LFLL;LFPG;0,081;0,087;4,3;4,1
201511;LFLL;LFBO;0,047;0,053;3,4;2,9
201511;LFLL;LFKB;0,100;0,000;3,4;1,7
201511;LFLL;LFBP;0,176;0,145;11,2;8,1
201511;LFLL;LFRK;0,130;0,058;9,1;5,0
201511;LFLL;LFRN;0,045;0,090;4,0;4,8
201511;LFLL;LFLC;0,132;0,103;5,5;4,9
201511;LFLL;GMMX;0,083;;3,1;
201511;LFLL;LPPR;0,143;;18,8;
201511;LFLL;LPPT;0,106;;7,1;
201511;LFLL;DTTA;0,390;;19,0;
201511;LFLL;LOWW;0,306;;13,9;
201511;LFLL;LFPO;0,129;0,129;9,7;13,7
201511;LFLL;LFRS;0,117;0,168;5,7;7,1
201511;LFLL;LFRB;0,140;;6,9;
201511;LFLL;EDDM;0,086;;5,3;
201511;LFLL;EPKK;0,100;;5,5;
201511;LFLL;DTTJ;0,143;;7,6;
201511;LFLL;LTFJ;0,846;;29,3;
201511;LFLL;LFQQ;0,101;;10,4;
201511;LFLL;LEMD;0,188;;12,1;
201511;LFLL;EHAM;0,157;;13,2;
201511;LFLL;LIMC;0,156;;11,3;
201511;LFLL;EGKK;0,191;;18,9;
201511;LFLL;EGGW;0,182;;9,7;
201511;LFLL;LFBZ;0,076;0,038;6,0;4,3
201511;LFLL;LIPZ;0,109;;10,4;
201511;LFLL;EDDB;0,333;;15,3;
201511;LFLL;LIRF;0,136;;6,0;
201511;LFLL;LLBG;0,500;;69,3;
201511;LFLL;LKPR;0,167;;6,6;
201511;LFLL;LEBL;0,095;;7,0;
201511;LFLL;GMMN;0,227;;33,8;
201511;LFLL;EGBB;0,133;;6,3;
201511;LFLL;EDDF;0,126;;6,7;
201511;LFLL;LSZH;0,094;;4,3;
201511;LFLL;LIPE;0,147;;6,7;
201511;LFLL;LFBL;0,067;0,067;5,8;6,4
201511;LFLL;EDDL;0,225;;10,2;
201511;LFLL;LFJL;0,234;0,000;13,2;0,1
201511;LFLL;LFRH;0,085;0,149;8,5;12,1
201511;LFLL;EIDW;0,267;;13,1;
201511;LFLL;LFBI;0,111;0,116;5,3;5,7
201511;LFLL;EGLL;0,188;;15,0;
201511;LFLL;OMDB;0,091;;5,0;
201511;LFLL;DTMB;0,385;;20,0;
201511;LFLL;DAAG;0,288;;17,9;
