ANMOIS;APT;FSC;ZON;CAT;MVT;PAX;PEQ;CO2;NOX;COVNM;TSP
200501;LFPG;LC;I;A;7;321;3425;0,000;0,000;0,001;0,000
200501;LFPG;LC;I;B;225;21626;21759;0,323;1,331;0,169;0,051
200501;LFPG;LC;I;C;6994;1414302;2372156;28,710;154,489;23,026;4,557
200501;LFPG;MC;I;A;7308;239349;246356;4,398;11,118;2,838;0,698
200501;LFPG;MC;I;B;19923;1663504;1714350;24,294;91,781;8,892;3,856
200501;LFPG;MC;I;C;1394;119114;396005;4,008;22,038;2,161;0,636
200501;LFPG;LC;O;C;111;30607;50247;0,487;3,223;0,307;0,077
200501;LFPG;CC;M;A;959;20010;32909;0,462;1,178;0,489;0,073
200501;LFPG;CC;M;B;4079;352349;454360;4,740;16,810;1,904;0,752
200501;LFPG;CC;M;C;156;2340;40497;0,393;2,104;0,107;0,062
200501;LFPO;LC;I;B;169;13981;15185;0,207;0,838;0,069;0,033
200501;LFPO;LC;I;C;218;86373;97841;0,922;5,102;1,057;0,146
200501;LFPO;MC;I;A;428;12780;12780;0,238;0,589;0,126;0,038
200501;LFPO;MC;I;B;4976;486735;519572;5,529;24,448;1,468;0,878
200501;LFPO;MC;I;C;432;68719;106180;1,084;5,212;0,773;0,172
200501;LFPO;LC;O;C;615;244042;279677;2,748;15,013;5,008;0,436
200501;LFPO;CC;M;A;2167;50385;50419;0,635;1,715;0,761;0,101
200501;LFPO;CC;M;B;9401;944138;948377;9,417;39,255;3,055;1,495
200501;LFPO;CC;M;C;51;11579;15235;0,247;1,506;0,457;0,039
200502;LFPG;LC;I;A;4;0;2373;-0,028;-0,063;0,000;-0,004
200502;LFPG;LC;I;B;177;15836;15951;0,252;1,040;0,141;0,040
200502;LFPG;LC;I;C;6379;1251270;2365336;26,248;141,559;20,912;4,166
200502;LFPG;MC;I;A;7074;241437;248835;4,260;10,737;2,702;0,676
200502;LFPG;MC;I;B;17947;1591344;1646232;21,839;82,620;8,017;3,466
200502;LFPG;MC;I;C;1358;111514;487549;3,912;21,580;2,273;0,621
200502;LFPG;LC;O;C;117;30855;50248;0,547;3,483;0,422;0,087
200502;LFPG;CC;M;A;927;20120;31778;0,456;1,165;0,469;0,072
200502;LFPG;CC;M;B;3748;338448;435335;4,343;15,479;1,785;0,689
200502;LFPG;CC;M;C;145;1921;47853;0,353;1,892;0,089;0,056
200502;LFPO;LC;I;A;1;1;1;0,000;0,000;0,000;0,000
200502;LFPO;LC;I;B;143;12715;13836;0,173;0,695;0,059;0,027
200502;LFPO;LC;I;C;198;78009;91316;0,833;4,603;0,934;0,132
200502;LFPO;MC;I;A;429;12996;12996;0,237;0,586;0,124;0,038
200502;LFPO;MC;I;B;4518;475408;507576;5,020;22,307;1,298;0,797
200502;LFPO;MC;I;C;383;62519;97751;0,992;4,949;0,818;0,158
