ANMOIS;APT;FSC;ZON;CAT;MVT;PAX;PEQ;CO2;NOX;COVNM;TSP
201001;LFPG;LC;I;A;3;8;8;0,002;0,003;0,001;0,000
201001;LFPG;LC;I;B;437;34552;36134;0,623;2,530;0,332;0,099
201001;LFPG;LC;I;C;7255;1571323;2634704;30,273;172,991;16,984;4,805
201001;LFPG;MC;I;A;5988;239249;252383;3,675;9,509;2,340;0,583
201001;LFPG;MC;I;B;18816;1785068;1881409;22,461;86,520;9,359;3,565
201001;LFPG;MC;I;C;1437;124145;332065;4,482;23,781;2,085;0,711
201001;LFPG;LC;O;C;101;33662;47439;0,459;3,071;0,217;0,073
201001;LFPG;CC;M;B;1;0;0;0,000;0,001;0,000;0,000
201001;LFPG;CC;M;A;1000;36208;38018;0,531;1,487;0,383;0,084
201001;LFPG;CC;M;B;3506;323933;448872;4,029;14,976;1,905;0,639
201001;LFPG;CC;M;C;184;3513;10085;0,452;2,584;0,150;0,072
201001;LFPO;LC;I;B;40;3506;3661;0,052;0,253;0,020;0,008
201001;LFPO;LC;I;C;285;57481;60849;0,865;4,652;0,173;0,137
201001;LFPO;MC;I;A;682;19172;19175;0,248;0,608;0,258;0,039
201001;LFPO;MC;I;B;5777;648127;663551;6,367;29,396;1,800;1,011
201001;LFPO;MC;I;C;207;35956;41912;0,549;2,887;0,514;0,087
201001;LFPO;LC;O;C;670;234700;273921;2,665;17,278;0,875;0,423
201001;LFPO;CC;M;A;1741;53117;53135;0,626;1,819;0,490;0,099
201001;LFPO;CC;M;B;6815;698654;701089;6,927;28,852;2,366;1,100
201001;LFPO;CC;M;C;34;6579;7047;0,129;0,724;0,043;0,020
201002;LFPG;LC;I;A;1;10;10;0,000;0,000;0,000;0,000
201002;LFPG;LC;I;B;390;31097;32418;0,554;2,222;0,291;0,088
201002;LFPG;LC;I;C;6349;1350337;2457902;26,564;151,071;15,122;4,217
201002;LFPG;MC;I;A;5850;239701;255182;3,540;9,184;2,334;0,562
201002;LFPG;MC;I;B;17394;1716497;1810399;20,818;80,602;8,546;3,305
201002;LFPG;MC;I;C;1372;116107;347002;4,176;21,956;1,970;0,663
201002;LFPG;LC;O;C;86;26422;38389;0,400;2,710;0,202;0,064
201002;LFPG;CC;M;A;938;32709;34520;0,488;1,350;0,384;0,077
201002;LFPG;CC;M;B;3182;301365;424562;3,671;13,668;1,697;0,583
201002;LFPG;CC;M;C;176;4230;12427;0,417;2,341;0,145;0,066
201002;LFPO;LC;I;B;41;3115;3236;0,052;0,237;0,020;0,008
201002;LFPO;LC;I;C;246;51992;55543;0,751;4,011;0,157;0,119
201002;LFPO;MC;I;A;710;22272;22280;0,248;0,590;0,272;0,039
201002;LFPO;MC;I;B;5099;632549;647553;5,658;26,161;1,537;0,898
201002;LFPO;MC;I;C;205;35292;40623;0,562;2,859;0,547;0,089
201002;LFPO;LC;O;C;593;222910;260799;2,387;15,241;0,760;0,379
201002;LFPO;CC;M;A;1817;56342;56348;0,649;1,881;0,511;0,103
201002;LFPO;CC;M;B;6297;655667;658111;6,394;26,722;2,131;1,015
201002;LFPO;CC;M;C;37;7561;7993;0,111;0,640;0,048;0,018
201003;LFPG;LC;I;B;427;34296;35682;0,605;2,409;0,320;0,096
201003;LFPG;LC;I;C;7321;1611652;2967387;30,755;176,096;16,881;4,882
201003;LFPG;MC;I;A;6790;291987;326400;4,079;10,596;2,719;0,647
201003;LFPG;MC;I;B;20718;2140596;2247250;24,733;95,250;10,319;3,926
201003;LFPG;MC;I;C;1588;146585;435820;4,907;25,951;2,220;0,779
