ANMOIS;DEP;ARR;NVOLS;PAX_FS;FSC;ZON
199201;CYUL;LFPG;80;9770;LC;I
199201;CYYZ;LFPG;32;3726;LC;I
199201;DAAG;LFBO;10;872;MC;I
199201;DAAG;LFLL;34;4158;MC;I
199201;DAAG;LFML;64;8537;MC;I
199201;DAAG;LFMN;6;582;MC;I
199201;DAAG;LFPO;144;27173;MC;I
199201;DAAG;LFQQ;11;1091;MC;I
199201;DABB;LFLL;9;650;MC;I
199201;DABB;LFML;13;1782;MC;I
199201;DABB;LFPO;9;927;MC;I
199201;DABC;LFLL;27;2401;MC;I
199201;DABC;LFML;31;4372;MC;I
199201;DABC;LFPO;31;3030;MC;I
199201;DAON;LFPO;13;1451;MC;I
199201;DAOO;LFBO;9;858;MC;I
199201;DAOO;LFLL;8;756;MC;I
199201;DAOO;LFML;17;2503;MC;I
199201;DAOO;LFPO;31;4773;MC;I
199201;DBBB;LFBD;5;792;LC;I
199201;DBBB;LFPG;9;1321;LC;I
199201;DFFD;LFPG;21;1923;LC;I
199201;DIAP;LFPG;12;1116;LC;I
199201;DNMM;LFPG;5;965;LC;I
199201;DRRN;LFLL;3;620;LC;I
199201;DRRN;LFML;4;794;LC;I
199201;DRRN;LFPG;11;2153;LC;I
199201;DTMB;LFLL;7;915;MC;I
199201;DTMB;LFPO;16;1980;MC;I
199201;DTTA;LFBO;9;856;MC;I
199201;DTTA;LFLL;21;1953;MC;I
199201;DTTA;LFML;55;5146;MC;I
199201;DTTA;LFMN;39;4166;MC;I
199201;DTTA;LFPO;74;12081;MC;I
199201;DTTA;LFSB;4;595;MC;I
199201;DTTA;LFST;6;639;MC;I
199201;DTTJ;LFPO;14;2037;MC;I
199201;DTTX;LFPO;9;1284;MC;I
199201;DXXX;LFML;3;610;LC;I
199201;EBBR;LFBD;51;530;MC;I
199201;EBBR;LFLL;115;2717;MC;I
199201;EBBR;LFML;76;1103;MC;I
199201;EBBR;LFMN;46;2272;MC;I
199201;EBBR;LFPG;244;6047;MC;I
199201;EBBR;LFSB;195;1721;MC;I
199201;EBBR;LFST;64;1401;MC;I
199201;EDDF;LFBD;23;781;MC;I
199201;EDDF;LFLL;69;2662;MC;I
199201;EDDF;LFMN;63;2798;MC;I
199201;EDDF;LFPG;342;28351;MC;I
199201;EDDF;LFPO;6;676;MC;I
199201;EDDF;LFSB;79;1362;MC;I
199201;EDDH;LFPG;164;5885;MC;I
199201;EDDH;LFSB;68;647;MC;I
199201;EDDK;LFPG;237;4549;MC;I
199201;EDDL;LFLL;52;1251;MC;I
199201;EDDL;LFMN;41;1537;MC;I
199201;EDDL;LFPG;219;10409;MC;I
199201;EDDL;LFSB;112;1678;MC;I
199201;EDDM;LFLL;43;700;MC;I
199201;EDDM;LFMN;39;1125;MC;I
199201;EDDM;LFPG;244;12446;MC;I
199201;EDDM;LFPO;10;573;MC;I
199201;EDDM;LFSB;114;2280;MC;I
199201;EDDN;LFPG;79;1680;MC;I
199201;EDDS;LFPG;162;5233;MC;I
199201;EDDT;LFPG;126;6008;MC;I
199201;EDDT;LFSB;98;1153;MC;I
199201;EDDV;LFPG;125;2577;MC;I
199201;EDDW;LFPG;67;889;MC;I
199201;EDHI;LFBO;39;844;MC;I
199201;EFHF;LFLL;7;854;MC;I
199201;EFHF;LFPG;80;5087;MC;I
199201;EGAA;LFLL;8;1525;MC;I
199201;EGAA;LFPG;26;849;MC;I
199201;EGBB;LFLL;12;1678;MC;I
199201;EGBB;LFPG;210;7746;MC;I
199201;EGCC;LFBO;5;1395;MC;I
199201;EGCC;LFBT;2;516;MC;I
199201;EGCC;LFLL;36;3726;MC;I
199201;EGCC;LFLS;5;892;MC;I
199201;EGCC;LFOB;8;1299;MC;I
199201;EGCC;LFPG;237;11079;MC;I
199201;EGCC;LFPO;3;564;MC;I
199201;EGFF;LFPG;66;597;MC;I
199201;EGGD;LFLL;7;875;MC;I
199201;EGGD;LFPG;66;1118;MC;I
199201;EGGW;LFLL;18;2904;MC;I
199201;EGHI;LFPG;45;971;MC;I
199201;EGJJ;LFRD;51;1157;MC;I
199201;EGKK;LFBO;54;5837;MC;I
199201;EGKK;LFBT;8;875;MC;I
199201;EGKK;LFLL;50;8446;MC;I
199201;EGKK;LFLS;21;3511;MC;I
199201;EGKK;LFMN;28;1948;MC;I
199201;EGKK;LFMT;17;757;MC;I
199201;EGKK;LFOB;10;683;MC;I
199201;EGLL;LFBD;33;1667;MC;I
199201;EGLL;LFBO;53;2496;MC;I
199201;EGLL;LFLL;137;7037;MC;I
199201;EGLL;LFML;57;3112;MC;I
199201;EGLL;LFMN;179;10704;MC;I
199201;EGLL;LFPG;1542;125142;MC;I
199201;EGLL;LFPO;21;1508;MC;I
199201;EGLL;LFRS;29;962;MC;I
199201;EGLL;LFSB;113;4937;MC;I
199201;EGLL;LFST;50;1587;MC;I
199201;EGNM;LFPG;68;1008;MC;I
199201;EGNV;LFLL;4;678;MC;I
199201;EGNX;LFPG;72;1787;MC;I
199201;EGPF;LFLL;8;828;MC;I
199201;EGPF;LFPG;47;1645;MC;I
199201;EGPH;LFPG;57;1234;MC;I
199201;EGSS;LFBD;46;637;MC;I
199201;EGSS;LFLL;8;985;MC;I
199201;EGSS;LFMN;27;687;MC;I
199201;EHAM;LFLL;47;1965;MC;I
199201;EHAM;LFMN;74;2943;MC;I
199201;EHAM;LFPG;348;25045;MC;I
199201;EHAM;LFSB;109;1593;MC;I
199201;EHEH;LFPG;55;1282;MC;I
199201;EHRD;LFPG;57;1070;MC;I
199201;EIDW;LFPG;98;5650;MC;I
199201;EKRK;LFMN;35;2118;MC;I
199201;EKRK;LFPG;202;14477;MC;I
199201;ELLX;LFPG;109;2446;MC;I
199201;ENFB;LFPG;104;4650;MC;I
199201;ENZV;LFPG;27;1353;MC;I
199201;EPKK;LFPG;4;550;MC;I
199201;EPWA;LFPG;36;2981;MC;I
199201;ESGG;LFPG;28;729;MC;I
199201;ESSA;LFPG;119;8841;MC;I
199201;FAOR;LFMN;3;598;LC;I
199201;FAOR;LFPO;8;1867;LC;I
199201;FEFF;LFPG;11;1296;LC;I
199201;FIMP;LFPO;18;3978;LC;I
199201;FKKD;LFPG;9;1661;LC;I
199201;FKKD;LFPO;9;1449;LC;I
199201;FKKR;LFPO;4;615;LC;I
199201;FMEE;LFML;13;4636;LC;O
199201;FMEE;LFPO;30;6981;LC;O
199201;FNLU;LFPG;11;2130;LC;I
199201;FOOL;LFML;5;953;LC;I
199201;FOOL;LFMN;4;668;LC;I
199201;FOOL;LFPG;12;1565;LC;I
199201;FSIA;LFPG;11;2493;LC;I
199201;FTTJ;LFPG;8;1043;LC;I
199201;FWHQ;LFPG;4;776;LC;I
199201;GABS;LFML;4;853;LC;I
199201;GABS;LFPG;16;2132;LC;I
199201;GCLP;LFSB;13;1618;MC;I
199201;GCRR;LFPO;6;905;MC;I
199201;GCTS;LFBO;4;600;MC;I
199201;GCTS;LFLL;5;806;MC;I
199201;GCTS;LFRS;8;1190;MC;I
199201;GCTS;LFSB;10;1389;MC;I
199201;GCXO;LFPG;6;1345;MC;I
199201;GCXO;LFPO;25;3420;MC;I
199201;GMAD;LFPO;18;1763;MC;I
199201;GMFF;LFPO;13;929;MC;I
199201;GMFO;LFML;8;1029;MC;I
199201;GMFO;LFPO;9;1188;MC;I
199201;GMMC;LFPO;154;15397;MC;I
199201;GMME;LFPO;49;3791;MC;I
