ANMOIS;DEP;ARR;NVOLS;PAX_FS;FSC;ZON
200001;BIRK;LFPG;13;1260;MC;I
200001;CYQB;LFPG;2;701;LC;I
200001;CYQB;LFPO;3;928;LC;I
200001;CYUL;LFPG;76;20412;LC;I
200001;CYYZ;LFPG;59;9556;LC;I
200001;DAAE;LFLL;8;673;MC;I
200001;DAAE;LFPG;15;1745;MC;I
200001;DAAG;LFBO;9;739;MC;I
200001;DAAG;LFLL;36;2639;MC;I
200001;DAAG;LFML;61;5965;MC;I
200001;DAAG;LFPG;103;18062;MC;I
200001;DAAG;LFQQ;15;844;MC;I
200001;DABB;LFML;12;1431;MC;I
200001;DABB;LFPG;11;893;MC;I
200001;DABC;LFLL;18;2143;MC;I
200001;DABC;LFML;37;3854;MC;I
200001;DABC;LFPG;11;1329;MC;I
200001;DAON;LFPG;12;1049;MC;I
200001;DAOO;LFBO;8;768;MC;I
200001;DAOO;LFLL;9;1287;MC;I
200001;DAOO;LFML;22;2576;MC;I
200001;DAOO;LFPG;18;2271;MC;I
200001;DBBB;LFPG;16;2446;LC;I
200001;DFFD;LFPG;38;4841;LC;I
200001;DIAP;LFPG;32;5814;LC;I
200001;DIAP;LFPO;3;1072;LC;I
200001;DNMM;LFPG;29;3993;LC;I
200001;DNPO;LFPG;8;979;LC;I
200001;DRRN;LFPG;13;1651;LC;I
200001;DTMB;LFBO;6;936;MC;I
200001;DTMB;LFLL;15;1695;MC;I
200001;DTMB;LFML;9;1150;MC;I
200001;DTMB;LFPG;17;2586;MC;I
200001;DTMB;LFPO;12;1527;MC;I
200001;DTMB;LFRS;6;915;MC;I
200001;DTMB;LFSB;6;657;MC;I
200001;DTTA;LFBD;8;622;MC;I
200001;DTTA;LFBO;9;981;MC;I
200001;DTTA;LFLL;50;4540;MC;I
200001;DTTA;LFML;67;7984;MC;I
200001;DTTA;LFMN;40;5010;MC;I
200001;DTTA;LFPG;134;12244;MC;I
200001;DTTA;LFPO;100;10768;MC;I
200001;DTTA;LFST;9;617;MC;I
200001;DTTJ;LFLL;10;1396;MC;I
200001;DTTJ;LFPG;73;10604;MC;I
200001;DTTJ;LFPO;7;1125;MC;I
200001;DTTJ;LFRS;4;568;MC;I
200001;DTTZ;LFLL;10;1034;MC;I
200001;DTTZ;LFPG;15;2131;MC;I
200001;DTTZ;LFPO;6;679;MC;I
200001;DXXX;LFPG;11;1860;LC;I
200001;DXXX;LFPO;5;1715;LC;I
200001;EBBR;LFBD;106;3554;MC;I
200001;EBBR;LFBO;81;3352;MC;I
200001;EBBR;LFLL;182;6358;MC;I
200001;EBBR;LFML;87;4179;MC;I
200001;EBBR;LFMN;148;8420;MC;I
200001;EBBR;LFPG;301;14631;MC;I
200001;EBBR;LFPO;95;2133;MC;I
200001;EBBR;LFRS;103;2139;MC;I
200001;EBBR;LFSB;139;2087;MC;I
200001;EBBR;LFST;103;4217;MC;I
200001;EDDB;LFSB;34;1089;MC;I
200001;EDDF;LFBO;91;3094;MC;I
200001;EDDF;LFLL;181;8006;MC;I
200001;EDDF;LFML;51;566;MC;I
200001;EDDF;LFMN;138;8915;MC;I
200001;EDDF;LFPG;490;35073;MC;I
200001;EDDF;LFPO;55;3402;MC;I
200001;EDDF;LFSB;125;3926;MC;I
200001;EDDH;LFPG;248;11072;MC;I
200001;EDDH;LFSB;84;1589;MC;I
200001;EDDK;LFPG;296;5536;MC;I
200001;EDDK;LFSB;113;1157;MC;I
200001;EDDL;LFLL;108;2031;MC;I
200001;EDDL;LFMN;25;681;MC;I
200001;EDDL;LFPG;256;12653;MC;I
200001;EDDL;LFSB;77;1635;MC;I
200001;EDDM;LFBO;28;501;MC;I
200001;EDDM;LFLC;38;627;MC;I
200001;EDDM;LFLL;134;2823;MC;I
200001;EDDM;LFML;86;2300;MC;I
200001;EDDM;LFMN;183;3849;MC;I
200001;EDDM;LFPG;343;19277;MC;I
200001;EDDM;LFSB;120;2197;MC;I
200001;EDDM;LFST;55;638;MC;I
200001;EDDN;LFPG;114;3077;MC;I
200001;EDDS;LFLL;106;1574;MC;I
200001;EDDS;LFPG;250;10471;MC;I
200001;EDDT;LFPG;214;13124;MC;I
200001;EDDT;LFSB;48;1043;MC;I
200001;EDDV;LFPG;184;5817;MC;I
200001;EDDV;LFSB;72;751;MC;I
200001;EDDW;LFPG;44;1000;MC;I
200001;EDHI;LFBO;36;852;MC;I
200001;EDLW;LFPG;60;1614;MC;I
200001;EFHF;LFPG;147;8541;MC;I
200001;EGAA;LFBO;5;861;MC;I
200001;EGAA;LFLL;8;1803;MC;I
200001;EGBB;LFBO;19;2524;MC;I
200001;EGBB;LFLB;6;557;MC;I
200001;EGBB;LFLL;42;2479;MC;I
200001;EGBB;LFPG;302;12462;MC;I
200001;EGBB;LFSB;42;846;MC;I
200001;EGCC;LFBO;25;5224;MC;I
200001;EGCC;LFLB;6;575;MC;I
200001;EGCC;LFLL;31;4976;MC;I
200001;EGCC;LFLS;9;1947;MC;I
200001;EGCC;LFPG;304;16656;MC;I
200001;EGCC;LFSB;71;1308;MC;I
200001;EGFF;LFPG;64;1039;MC;I
200001;EGGD;LFBO;6;901;MC;I
200001;EGGD;LFLB;3;516;MC;I
200001;EGGD;LFPG;78;1817;MC;I
200001;EGGP;LFMN;30;2818;MC;I
200001;EGGW;LFMN;92;9673;MC;I
200001;EGHI;LFPG;48;1376;MC;I
200001;EGJJ;LFRD;60;621;MC;I
200001;EGKK;LFBD;87;3166;MC;I
200001;EGKK;LFBO;134;12714;MC;I
200001;EGKK;LFLB;17;1870;MC;I
200001;EGKK;LFLL;69;14659;MC;I
200001;EGKK;LFLS;12;2710;MC;I
200001;EGKK;LFML;91;4747;MC;I
200001;EGKK;LFMN;20;949;MC;I
200001;EGKK;LFMT;29;1208;MC;I
200001;EGKK;LFRS;85;2091;MC;I
200001;EGKK;LFST;73;1418;MC;I
200001;EGLC;LFSB;72;1888;MC;I
200001;EGLL;LFBO;79;2541;MC;I
200001;EGLL;LFLL;170;8615;MC;I
200001;EGLL;LFMN;179;15053;MC;I
200001;EGLL;LFPG;1344;81491;MC;I
200001;EGLL;LFPO;182;12650;MC;I
200001;EGLL;LFSB;92;6226;MC;I
200001;EGNJ;LFPG;47;624;MC;I
200001;EGNM;LFPG;66;1720;MC;I
200001;EGNT;LFLL;3;515;MC;I
200001;EGNT;LFPG;76;2454;MC;I
200001;EGNV;LFPG;49;536;MC;I
200001;EGNX;LFPG;83;3383;MC;I
200001;EGPF;LFBO;5;805;MC;I
200001;EGPF;LFPG;118;1789;MC;I
200001;EGPH;LFPG;156;4470;MC;I
200001;EGPK;LFOB;49;2799;MC;I
200001;EGSS;LFBO;6;604;MC;I
200001;EGSS;LFBZ;29;1459;MC;I
200001;EGSS;LFLL;103;4538;MC;I
200001;EGSS;LFMH;30;1680;MC;I
200001;EGSS;LFMK;30;2093;MC;I
200001;EGSS;LFRD;30;1190;MC;I
200001;EGTG;LFBO;21;683;MC;I
200001;EHAM;LFBO;89;4182;MC;I
200001;EHAM;LFLB;5;748;MC;I
200001;EHAM;LFLC;21;808;MC;I
200001;EHAM;LFLL;116;6055;MC;I
200001;EHAM;LFML;27;847;MC;I
200001;EHAM;LFMN;106;6450;MC;I
