ANMOIS;APT;FSC;ZON;CAT;MVT;PAX;PEQ;CO2;NOX;COVNM;TSP
201301;LFPG;LC;I;A;2;0;0;0,001;0,003;0,002;0,000
201301;LFPG;LC;I;B;242;22981;24157;0,333;1,241;0,106;0,053
201301;LFPG;LC;I;C;7348;1694526;2697663;33,194;192,428;17,441;5,269
201301;LFPG;MC;I;A;4883;215945;230006;3,565;9,231;2,049;0,566
201301;LFPG;MC;I;B;17625;1816075;1885941;21,788;81,379;9,837;3,458
201301;LFPG;MC;I;C;1690;133726;517233;5,423;27,812;2,562;0,861
201301;LFPG;LC;O;C;167;55692;67034;0,747;4,924;0,417;0,119
201301;LFPG;CC;M;A;1167;42966;61246;0,633;1,771;0,463;0,101
201301;LFPG;CC;M;B;3586;344577;432678;4,388;15,971;1,841;0,696
201301;LFPG;CC;M;C;166;329;28790;0,371;1,973;0,117;0,059
201301;LFPO;LC;I;A;1;5;5;0,001;0,004;0,000;0,000
201301;LFPO;LC;I;B;65;9178;9234;0,082;0,358;0,019;0,013
201301;LFPO;LC;I;C;268;62314;71866;0,851;4,479;0,154;0,135
201301;LFPO;MC;I;A;602;17192;17193;0,174;0,388;0,243;0,028
201301;LFPO;MC;I;B;6387;753313;768341;7,035;30,178;1,880;1,117
201301;LFPO;MC;I;C;181;35677;43626;0,534;3,023;0,430;0,085
201301;LFPO;LC;O;C;771;273780;311197;3,043;18,438;0,948;0,483
201301;LFPO;CC;M;A;2242;67151;67165;0,728;2,087;0,620;0,116
201301;LFPO;CC;M;B;6431;690893;692740;6,294;26,438;1,759;0,999
201301;LFPO;CC;M;C;1;120;120;0,002;0,005;0,000;0,000
201302;LFPG;LC;I;A;1;5;5;0,000;0,002;0,000;0,000
201302;LFPG;LC;I;B;208;19450;20660;0,291;1,059;0,094;0,046
201302;LFPG;LC;I;C;6672;1493245;2467259;29,970;174,705;15,808;4,757
201302;LFPG;MC;I;A;4669;208873;222723;3,360;8,734;1,934;0,533
201302;LFPG;MC;I;B;17171;1820899;1889675;20,761;77,881;9,199;3,295
201302;LFPG;MC;I;C;1529;108510;476921;4,773;24,382;2,075;0,758
201302;LFPG;LC;O;C;144;48358;58343;0,656;4,307;0,375;0,104
201302;LFPG;CC;M;A;1059;41132;57649;0,575;1,614;0,398;0,091
201302;LFPG;CC;M;B;3382;333147;411999;4,027;14,916;1,610;0,639
201302;LFPG;CC;M;C;164;432;26502;0,360;1,953;0,100;0,057
201302;LFPO;LC;I;B;53;7939;8007;0,070;0,302;0,018;0,011
201302;LFPO;LC;I;C;242;54308;64537;0,737;3,903;0,115;0,117
201302;LFPO;MC;I;A;647;19887;19887;0,188;0,434;0,217;0,030
201302;LFPO;MC;I;B;5808;702318;719752;6,364;27,569;1,624;1,010
201302;LFPO;MC;I;C;89;15298;21684;0,259;1,468;0,255;0,041
201302;LFPO;LC;O;C;698;250239;290372;2,763;16,787;0,864;0,439
201302;LFPO;CC;M;A;2288;71022;71039;0,743;2,171;0,604;0,118
201302;LFPO;CC;M;B;6883;707363;709108;6,670;28,162;1,766;1,059
201303;LFPG;LC;I;A;2;4;4;0,001;0,004;0,000;0,000
201303;LFPG;LC;I;B;226;21680;22976;0,307;1,117;0,093;0,049
201303;LFPG;LC;I;C;7581;1817566;2952912;33,266;197,218;16,844;5,280
201303;LFPG;MC;I;A;4941;249768;264412;3,469;9,138;1,900;0,551
201303;LFPG;MC;I;B;19351;2296303;2380185;23,184;88,614;9,854;3,680
201303;LFPG;MC;I;C;1718;149978;562212;5,293;27,870;2,213;0,840
201303;LFPG;LC;O;C;167;61921;73924;0,737;4,948;0,377;0,117
201303;LFPG;CC;M;A;1120;43071;60667;0,592;1,676;0,402;0,094
201303;LFPG;CC;M;B;3733;390307;472923;4,378;16,395;1,703;0,695
201303;LFPG;CC;M;C;165;1120;29794;0,378;1,982;0,123;0,060
201303;LFPO;LC;I;B;62;8568;8742;0,079;0,342;0,019;0,013
201303;LFPO;LC;I;C;347;77312;93845;1,053;5,394;0,189;0,167
201303;LFPO;MC;I;A;670;24822;24824;0,207;0,482;0,220;0,033
201303;LFPO;MC;I;B;7101;945683;963365;7,995;34,342;2,106;1,269
201303;LFPO;MC;I;C;144;31277;38462;0,453;2,519;0,402;0,072
201303;LFPO;LC;O;C;753;273875;327123;3,113;18,656;0,990;0,494
201303;LFPO;CC;M;A;2358;76492;76509;0,793;2,305;0,633;0,126
201303;LFPO;CC;M;B;7267;820264;822415;7,122;29,947;1,887;1,131
201304;LFPG;LC;I;A;2;8;8;0,001;0,004;0,001;0,000
201304;LFPG;LC;I;B;218;20014;21225;0,292;1,068;0,085;0,046
201304;LFPG;LC;I;C;7667;1808886;2896692;33,128;197,170;16,733;5,258
201304;LFPG;MC;I;A;4414;237121;250764;3,171;8,304;1,597;0,503
201304;LFPG;MC;I;B;20522;2433808;2514272;24,019;93,449;9,875;3,812
201304;LFPG;MC;I;C;1655;143710;540136;5,079;26,400;1,957;0,806
201304;LFPG;LC;O;C;158;61595;74047;0,667;4,619;0,344;0,106
201304;LFPG;CC;M;A;892;34622;51475;0,392;1,064;0,534;0,062
201304;LFPG;CC;M;B;3779;404461;481859;4,287;15,805;1,906;0,680
201304;LFPG;CC;M;C;164;604;27880;0,363;2,025;0,084;0,058
201304;LFPO;LC;I;B;59;7350;7376;0,070;0,278;0,013;0,011
201304;LFPO;LC;I;C;344;67621;82076;0,986;5,068;0,146;0,157
201304;LFPO;MC;I;A;428;15655;15655;0,096;0,165;0,189;0,015
201304;LFPO;MC;I;B;8020;1070328;1085285;8,947;38,929;2,335;1,420
201304;LFPO;MC;I;C;180;42243;50536;0,556;2,902;0,528;0,088
201304;LFPO;LC;O;C;664;233045;284516;2,681;16,539;0,798;0,426
201304;LFPO;CC;M;A;2461;87529;87550;0,688;1,998;0,850;0,109
201304;LFPO;CC;M;B;7752;873592;875689;7,573;32,266;2,065;1,202
201305;LFPG;LC;I;A;4;2;2;0,003;0,009;0,002;0,001
201305;LFPG;LC;I;B;215;17840;18955;0,295;1,039;0,090;0,047
201305;LFPG;LC;I;C;8133;1845539;2913996;34,987;206,078;17,864;5,554
201305;LFPG;MC;I;A;4546;242543;255678;3,265;8,564;1,617;0,518
201305;LFPG;MC;I;B;21661;2635871;2712468;25,722;99,736;10,480;4,083
201305;LFPG;MC;I;C;1792;167476;570987;5,597;29,216;2,088;0,888
201305;LFPG;LC;O;C;143;52272;63872;0,616;4,249;0,313;0,098
201305;LFPG;CC;M;A;865;32012;47004;0,369;0,992;0,576;0,059
201305;LFPG;CC;M;B;3925;429161;497776;4,470;16,315;2,060;0,710
201305;LFPG;CC;M;C;156;590;26583;0,339;1,849;0,087;0,054
201305;LFPO;LC;I;B;34;4067;4127;0,039;0,150;0,007;0,006
201305;LFPO;LC;I;C;333;58528;68044;0,902;4,627;0,153;0,143
201305;LFPO;MC;I;A;429;16125;16125;0,095;0,164;0,186;0,015
201305;LFPO;MC;I;B;8848;1205488;1220884;9,864;42,675;2,528;1,566
201305;LFPO;MC;I;C;232;46285;56793;0,641;3,539;0,539;0,102
201305;LFPO;LC;O;C;629;217638;255891;2,439;15,424;0,701;0,387
201305;LFPO;CC;M;A;2314;82619;82635;0,662;1,941;0,752;0,105
201305;LFPO;CC;M;B;7623;914235;916112;7,509;31,858;2,075;1,192
201306;LFPG;LC;I;A;1;86;86;0,001;0,003;0,001;0,000
201306;LFPG;LC;I;B;144;11888;12851;0,191;0,697;0,063;0,030
201306;LFPG;LC;I;C;8425;2013657;3112854;36,129;211,723;18,297;5,735
201306;LFPG;MC;I;A;4196;239172;252782;3,009;7,895;1,460;0,478
201306;LFPG;MC;I;B;20431;2571309;2649855;24,264;94,300;9,761;3,851
201306;LFPG;MC;I;C;1778;175795;577972;5,535;29,925;2,176;0,879
201306;LFPG;LC;O;C;131;50889;64305;0,558;3,871;0,253;0,089
201306;LFPG;CC;M;A;773;30435;45907;0,321;0,863;0,514;0,051
201306;LFPG;CC;M;B;3787;439150;513456;4,329;16,061;1,845;0,687
201306;LFPG;CC;M;C;151;5216;29947;0,346;1,974;0,115;0,055
201306;LFPO;LC;I;A;2;0;0;0,002;0,008;0,000;0,000
201306;LFPO;LC;I;B;33;3307;3339;0,039;0,172;0,014;0,006
201306;LFPO;LC;I;C;324;61522;71065;0,889;4,640;0,163;0,141
201306;LFPO;MC;I;A;415;15989;15989;0,099;0,179;0,183;0,016
201306;LFPO;MC;I;B;8283;1141736;1154577;9,261;40,284;2,399;1,470
201306;LFPO;MC;I;C;234;46852;58756;0,675;3,867;0,537;0,107
201306;LFPO;LC;O;C;606;211042;248209;2,316;14,974;0,661;0,368
201306;LFPO;CC;M;A;2274;84071;84084;0,669;1,953;0,736;0,106
201306;LFPO;CC;M;B;7746;989358;991441;7,675;32,622;2,099;1,218
201307;LFPG;LC;I;A;3;0;11;0,002;0,006;0,001;0,000
201307;LFPG;LC;I;B;161;13910;14944;0,217;0,791;0,069;0,034
201307;LFPG;LC;I;C;9132;2229364;3373962;39,167;228,132;19,692;6,217
201307;LFPG;MC;I;A;4588;258386;273289;3,335;8,705;1,676;0,529
201307;LFPG;MC;I;B;21917;2756874;2845117;26,067;101,828;10,624;4,138
201307;LFPG;MC;I;C;2009;196791;604220;6,256;33,925;2,433;0,993
201307;LFPG;LC;O;C;179;62343;74619;0,747;5,124;0,391;0,119
201307;LFPG;CC;M;A;889;34018;50428;0,366;0,972;0,620;0,058
201307;LFPG;CC;M;B;4104;482664;559621;4,679;17,396;2,048;0,743
201307;LFPG;CC;M;C;176;2942;32401;0,375;2,080;0,118;0,060
201307;LFPO;LC;I;B;36;3781;3931;0,042;0,178;0,012;0,007
201307;LFPO;LC;I;C;376;78150;87829;1,070;5,609;0,196;0,170
201307;LFPO;MC;I;A;428;17804;17804;0,095;0,162;0,189;0,015
201307;LFPO;MC;I;B;9479;1252459;1265172;10,541;45,812;2,584;1,673
201307;LFPO;MC;I;C;285;51019;62747;0,845;4,868;0,710;0,134
201307;LFPO;LC;O;C;847;313174;353026;3,270;20,936;0,939;0,519
201307;LFPO;CC;M;A;2075;75698;75705;0,564;1,640;0,714;0,090
201307;LFPO;CC;M;B;7616;978001;980537;7,332;30,836;1,914;1,164
201307;LFPO;CC;M;C;1;276;276;0,001;0,009;0,001;0,000
201308;LFPG;LC;I;B;196;18547;19551;0,264;0,955;0,093;0,042
201308;LFPG;LC;I;C;9070;2285691;3367804;38,266;225,808;19,081;6,074
201308;LFPG;MC;I;A;4251;233885;247140;3,055;7,982;1,548;0,485
201308;LFPG;MC;I;B;21834;2775902;2844978;25,841;102,281;10,316;4,102
201308;LFPG;MC;I;C;2026;229894;570628;6,209;33,767;2,479;0,986
201308;LFPG;LC;O;C;188;65158;75528;0,792;5,475;0,391;0,126
201308;LFPG;CC;M;A;893;34274;48420;0,375;1,011;0,577;0,060
