ANMOIS;DEP;ARR;NVOLS;PAX_FS;FSC;ZON
200401;BIRK;LFPG;9;1242;MC;I
200401;CYMX;LFPG;6;1625;LC;I
200401;CYQB;LFPG;4;886;LC;I
200401;CYUL;LFPG;89;20947;LC;I
200401;CYYZ;LFPG;61;9590;LC;I
200401;DAAE;LFLL;9;903;MC;I
200401;DAAE;LFPG;9;779;MC;I
200401;DAAE;LFPO;22;1975;MC;I
200401;DAAG;LFBO;10;809;MC;I
200401;DAAG;LFLL;42;3861;MC;I
200401;DAAG;LFML;53;5871;MC;I
200401;DAAG;LFMN;36;915;MC;I
200401;DAAG;LFPG;39;4888;MC;I
200401;DAAG;LFPO;180;19506;MC;I
200401;DAAG;LFQQ;17;1382;MC;I
200401;DABB;LFLL;5;573;MC;I
200401;DABB;LFML;14;1376;MC;I
200401;DABB;LFPO;7;927;MC;I
200401;DABC;LFLL;24;2057;MC;I
200401;DABC;LFML;40;3009;MC;I
200401;DABC;LFPG;9;501;MC;I
200401;DABC;LFPO;13;1317;MC;I
200401;DABC;LFSB;14;1037;MC;I
200401;DABT;LFML;9;507;MC;I
200401;DAON;LFPG;9;695;MC;I
200401;DAON;LFPO;17;1335;MC;I
200401;DAOO;LFBO;17;1417;MC;I
200401;DAOO;LFLL;9;1190;MC;I
200401;DAOO;LFML;17;2260;MC;I
200401;DAOO;LFPG;12;1179;MC;I
200401;DAOO;LFPO;31;3681;MC;I
200401;DBBB;LFPG;24;4478;LC;I
200401;DFFD;LFPG;26;5010;LC;I
200401;DIAP;LFPG;30;6071;LC;I
200401;DNMM;LFPG;30;6037;LC;I
200401;DNPO;LFPG;10;1593;LC;I
200401;DRRN;LFPG;12;2757;LC;I
200401;DTMB;LFBO;5;610;MC;I
200401;DTMB;LFLL;15;2024;MC;I
200401;DTMB;LFML;11;1203;MC;I
200401;DTMB;LFMN;5;609;MC;I
200401;DTMB;LFPG;17;2262;MC;I
200401;DTMB;LFPO;13;1750;MC;I
200401;DTMB;LFRS;5;747;MC;I
200401;DTTA;LFBD;9;657;MC;I
200401;DTTA;LFBO;13;1413;MC;I
200401;DTTA;LFLL;48;4521;MC;I
200401;DTTA;LFML;58;6129;MC;I
200401;DTTA;LFMN;38;4135;MC;I
200401;DTTA;LFPG;142;14635;MC;I
200401;DTTA;LFPO;113;12510;MC;I
200401;DTTA;LFST;9;681;MC;I
200401;DTTJ;LFLL;15;1976;MC;I
200401;DTTJ;LFPG;27;3884;MC;I
200401;DTTJ;LFPO;52;6330;MC;I
200401;DTTJ;LFRS;6;574;MC;I
