ANMOIS;DEP;ARR;NVOLS;PAX_FS;FSC;ZON
199701;BKPR;LFSB;6;782;MC;I
199701;CYMX;LFPG;76;19125;LC;I
199701;CYMX;LFPO;3;1377;LC;I
199701;CYYZ;LFPG;48;6381;LC;I
199701;DAAE;LFLL;13;1289;MC;I
199701;DAAE;LFML;9;870;MC;I
199701;DAAG;LFBO;7;578;MC;I
199701;DAAG;LFLL;26;4983;MC;I
199701;DAAG;LFML;37;6362;MC;I
199701;DAAG;LFQQ;16;2650;MC;I
199701;DABB;LFML;10;1262;MC;I
199701;DABC;LFLL;16;2009;MC;I
199701;DABC;LFML;31;3286;MC;I
199701;DAON;LFLL;6;700;MC;I
199701;DAOO;LFBO;8;899;MC;I
199701;DAOO;LFLL;16;2303;MC;I
199701;DAOO;LFML;14;2331;MC;I
199701;DBBB;LFPG;10;1344;LC;I
199701;DBBB;LFPO;5;1804;LC;I
199701;DFFD;LFPG;30;2810;LC;I
199701;DIAP;LFLL;5;951;LC;I
199701;DIAP;LFML;4;552;LC;I
199701;DIAP;LFPG;37;5321;LC;I
199701;DNMM;LFPG;14;2577;LC;I
199701;DRRN;LFPG;11;1324;LC;I
199701;DRRN;LFPO;5;1550;LC;I
199701;DTMB;LFLL;7;870;MC;I
199701;DTMB;LFML;7;534;MC;I
199701;DTMB;LFPO;13;1488;MC;I
199701;DTTA;LFBO;9;1111;MC;I
199701;DTTA;LFLL;33;3220;MC;I
199701;DTTA;LFML;61;6312;MC;I
199701;DTTA;LFMN;38;3862;MC;I
199701;DTTA;LFPG;29;3956;MC;I
199701;DTTA;LFPO;141;12374;MC;I
199701;DTTA;LFST;6;631;MC;I
199701;DTTJ;LFLL;6;770;MC;I
199701;DTTJ;LFML;6;523;MC;I
199701;DTTJ;LFPG;18;3120;MC;I
199701;DTTJ;LFPO;26;3013;MC;I
199701;DTTX;LFPO;9;725;MC;I
199701;DTTZ;LFPO;12;1309;MC;I
199701;DXXX;LFPG;6;938;LC;I
