ANMOIS;APT;FSC;ZON;CAT;MVT;PAX;PEQ;CO2;NOX;COVNM;TSP
200101;LFPG;LC;I;A;29;3334;6311;0,008;0,017;0,010;0,001
200101;LFPG;LC;I;B;113;18125;18130;0,167;0,691;0,075;0,027
200101;LFPG;LC;I;C;6261;1123834;1874013;25,261;128,413;25,621;4,010
200101;LFPG;MC;I;A;7446;224669;228867;4,035;9,773;4,064;0,640
200101;LFPG;MC;I;B;19934;1499500;1563070;25,810;94,164;7,522;4,097
200101;LFPG;MC;I;C;2338;222038;388817;6,191;31,392;4,263;0,983
200101;LFPG;LC;O;C;153;45636;54352;0,658;3,406;1,300;0,104
200101;LFPG;CC;M;A;1355;45027;59864;0,814;1,993;0,863;0,129
200101;LFPG;CC;M;B;4434;322248;439287;5,571;19,057;1,877;0,884
200101;LFPG;CC;M;C;282;6064;57753;0,720;3,650;0,579;0,114
200101;LFPO;LC;I;B;14;1720;1720;0,018;0,061;0,007;0,003
200101;LFPO;LC;I;C;349;108673;123153;1,374;7,406;1,675;0,218
200101;LFPO;MC;I;A;145;1869;1874;0,024;0,051;0,048;0,004
200101;LFPO;MC;I;B;2887;234191;258013;3,082;12,578;0,920;0,489
200101;LFPO;MC;I;C;730;101215;134614;1,670;9,099;1,377;0,265
200101;LFPO;LC;O;C;657;241199;271232;2,889;15,748;4,663;0,459
200101;LFPO;CC;M;A;2560;63623;63756;0,734;1,892;1,344;0,117
200101;LFPO;CC;M;B;12431;1190298;1198672;13,464;55,377;4,259;2,137
200101;LFPO;CC;M;C;55;7436;8188;0,172;0,853;0,092;0,027
200102;LFPG;LC;I;A;49;8450;11892;0,014;0,025;0,034;0,002
200102;LFPG;LC;I;B;100;16722;16722;0,157;0,678;0,061;0,025
200102;LFPG;LC;I;C;5693;1030528;1833538;22,974;116,892;23,005;3,647
200102;LFPG;MC;I;A;6904;218523;223261;3,755;9,078;3,721;0,596
200102;LFPG;MC;I;B;18651;1499035;1565138;24,158;88,295;7,203;3,835
200102;LFPG;MC;I;C;2172;230587;402833;5,748;29,482;3,823;0,912
200102;LFPG;LC;O;C;140;41403;51371;0,599;3,095;1,144;0,095
200102;LFPG;CC;M;A;1303;45762;60226;0,776;1,898;0,828;0,123
200102;LFPG;CC;M;B;3999;307437;415388;5,012;17,504;1,709;0,796
200102;LFPG;CC;M;C;271;6194;54650;0,705;3,768;0,217;0,112
200102;LFPO;LC;I;B;13;1663;1663;0,018;0,066;0,008;0,003
200102;LFPO;LC;I;C;319;97573;112251;1,242;6,740;1,473;0,197
200102;LFPO;MC;I;A;131;1407;1407;0,020;0,044;0,043;0,003
200102;LFPO;MC;I;B;2721;244552;268340;2,923;11,925;0,870;0,464
200102;LFPO;MC;I;C;670;96086;127177;1,522;8,363;1,374;0,242
200102;LFPO;LC;O;C;640;230866;264364;2,755;14,898;4,341;0,437
200102;LFPO;CC;M;A;2347;63523;63647;0,669;1,737;0,837;0,106
200102;LFPO;CC;M;B;11479;1135292;1143345;12,363;50,585;3,936;1,962
200102;LFPO;CC;M;C;32;2945;3297;0,098;0,502;0,038;0,016
200103;LFPG;LC;I;A;31;5346;11970;0,008;0,015;0,025;0,001
200103;LFPG;LC;I;B;73;12164;12164;0,104;0,423;0,050;0,017
200103;LFPG;LC;I;C;6481;1276635;2224213;26,218;134,296;26,665;4,162
200103;LFPG;MC;I;A;7619;254249;259229;4,095;9,959;4,067;0,650
200103;LFPG;MC;I;B;20857;1801959;1875157;26,921;98,048;8,081;4,273
200103;LFPG;MC;I;C;2436;269464;477535;6,479;32,847;4,431;1,028
