ANMOIS;DEP;ARR;NVOLS;PAX_FS;FSC;ZON
199301;CYMX;LFPG;58;7514;LC;I
199301;CYMX;LFPO;15;3039;LC;I
199301;CYYZ;LFPG;55;5039;LC;I
199301;DAAG;LFBO;9;772;MC;I
199301;DAAG;LFLL;30;3691;MC;I
199301;DAAG;LFML;65;7254;MC;I
199301;DAAG;LFPO;143;25994;MC;I
199301;DAAG;LFQQ;14;1418;MC;I
199301;DABB;LFML;14;1833;MC;I
199301;DABB;LFPO;12;1122;MC;I
199301;DABC;LFLL;26;2865;MC;I
199301;DABC;LFML;31;4407;MC;I
199301;DABC;LFPO;31;3640;MC;I
199301;DAON;LFPO;14;1450;MC;I
199301;DAOO;LFBO;9;1146;MC;I
199301;DAOO;LFLL;9;1216;MC;I
199301;DAOO;LFML;14;2576;MC;I
199301;DAOO;LFPO;31;5540;MC;I
199301;DAUG;LFPG;9;935;MC;I
199301;DBBB;LFPG;10;1647;LC;I
199301;DFFD;LFPG;18;2141;LC;I
199301;DIAP;LFPG;9;983;LC;I
199301;DNMM;LFPG;13;2190;LC;I
199301;DRRN;LFPG;14;1623;LC;I
199301;DTMB;LFLL;7;1056;MC;I
199301;DTMB;LFPO;16;2069;MC;I
199301;DTTA;LFBO;9;810;MC;I
199301;DTTA;LFLL;26;3049;MC;I
199301;DTTA;LFML;61;6690;MC;I
199301;DTTA;LFMN;30;3429;MC;I
199301;DTTA;LFPG;7;960;MC;I
199301;DTTA;LFPO;75;12657;MC;I
199301;DTTJ;LFPO;19;3148;MC;I
199301;DTTX;LFPO;9;823;MC;I
199301;DXXX;LFPG;11;1481;LC;I
199301;EBBR;LFBD;49;667;MC;I
199301;EBBR;LFLL;137;3716;MC;I
199301;EBBR;LFML;49;1233;MC;I
199301;EBBR;LFMN;38;2131;MC;I
199301;EBBR;LFPG;271;12633;MC;I
199301;EBBR;LFSB;156;2291;MC;I
199301;EBBR;LFST;60;1457;MC;I
199301;EDDF;LFLL;51;2477;MC;I
199301;EDDF;LFMN;72;3234;MC;I
199301;EDDF;LFPG;335;26508;MC;I
199301;EDDF;LFPO;21;2203;MC;I
199301;EDDF;LFSB;79;1614;MC;I
199301;EDDH;LFPG;147;6566;MC;I
199301;EDDH;LFSB;45;665;MC;I
199301;EDDK;LFPG;222;4399;MC;I
199301;EDDK;LFSB;43;1196;MC;I
199301;EDDL;LFLL;49;1001;MC;I
199301;EDDL;LFMN;41;1000;MC;I
199301;EDDL;LFPG;203;9908;MC;I
199301;EDDL;LFSB;55;1148;MC;I
199301;EDDM;LFBO;25;739;MC;I
199301;EDDM;LFLL;39;746;MC;I
199301;EDDM;LFMN;49;1410;MC;I
199301;EDDM;LFPG;256;13177;MC;I
199301;EDDM;LFPO;8;549;MC;I
199301;EDDM;LFSB;99;1441;MC;I
199301;EDDN;LFPG;74;1517;MC;I
199301;EDDS;LFPG;154;5487;MC;I
