ANMOIS;DEP;ARR;NVOLS;PAX_FS;FSC;ZON
200201;BIRK;LFPG;9;1104;MC;I
200201;CYMX;LFPG;5;1713;LC;I
200201;CYUL;LFPG;61;18492;LC;I
200201;CYYZ;LFPG;62;9793;LC;I
200201;DAAE;LFLL;9;1031;MC;I
200201;DAAE;LFML;6;822;MC;I
200201;DAAE;LFPG;21;2800;MC;I
200201;DAAG;LFBO;15;1290;MC;I
200201;DAAG;LFLL;40;4341;MC;I
200201;DAAG;LFML;63;9568;MC;I
200201;DAAG;LFPG;104;22052;MC;I
200201;DAAG;LFPO;22;504;MC;I
200201;DAAG;LFQQ;18;1685;MC;I
200201;DABB;LFLL;5;649;MC;I
200201;DABB;LFML;14;2251;MC;I
200201;DABB;LFPG;9;1313;MC;I
200201;DABC;LFLL;19;2563;MC;I
200201;DABC;LFML;35;4939;MC;I
200201;DABC;LFPG;12;1684;MC;I
200201;DABC;LFSB;9;591;MC;I
200201;DABT;LFPG;5;622;MC;I
200201;DAON;LFML;4;509;MC;I
200201;DAON;LFPG;18;2166;MC;I
200201;DAOO;LFBO;18;1937;MC;I
200201;DAOO;LFLL;9;1607;MC;I
200201;DAOO;LFML;27;4057;MC;I
200201;DAOO;LFPG;31;5244;MC;I
200201;DAUB;LFLL;4;532;MC;I
200201;DAUB;LFPG;4;628;MC;I
200201;DAUH;LFPG;23;758;MC;I
200201;DBBB;LFPG;13;2749;LC;I
200201;DFFD;LFPG;27;4634;LC;I
200201;DIAP;LFPG;30;8772;LC;I
200201;DNMM;LFPG;30;6747;LC;I
200201;DNPO;LFPG;9;1255;LC;I
200201;DRRN;LFPG;11;842;LC;I
200201;DTMB;LFBO;5;638;MC;I
200201;DTMB;LFLL;9;1283;MC;I
200201;DTMB;LFML;8;1039;MC;I
200201;DTMB;LFMN;5;600;MC;I
200201;DTMB;LFPG;9;1431;MC;I
200201;DTMB;LFPO;9;1297;MC;I
200201;DTMB;LFRS;5;736;MC;I
