ANMOIS;DEP;ARR;NVOLS;PAX_FS;FSC;ZON
201701;BIKF;LFPG;64;12026;MC;I
201701;BIKF;LFPO;20;2225;MC;I
201701;BKPR;LFPG;9;1228;MC;I
201701;BKPR;LFSB;78;11887;MC;I
201701;CYUL;LFLL;17;2488;LC;I
201701;CYUL;LFPG;117;37088;LC;I
201701;CYVR;LFPG;13;3299;LC;I
201701;CYYZ;LFPG;56;12564;LC;I
201701;DAAE;LFLL;9;991;MC;I
201701;DAAE;LFML;13;1076;MC;I
201701;DAAE;LFPO;42;5141;MC;I
201701;DAAG;LFBD;14;1448;MC;I
201701;DAAG;LFBO;32;2786;MC;I
201701;DAAG;LFJL;13;1437;MC;I
201701;DAAG;LFLL;65;8084;MC;I
201701;DAAG;LFML;169;12428;MC;I
201701;DAAG;LFMN;13;1147;MC;I
201701;DAAG;LFPG;261;29389;MC;I
201701;DAAG;LFPO;258;34238;MC;I
201701;DAAG;LFQQ;31;3589;MC;I
201701;DAAG;LFRS;9;943;MC;I
201701;DAAG;LFST;9;763;MC;I
201701;DAAS;LFLL;29;3122;MC;I
201701;DAAS;LFML;5;559;MC;I
201701;DAAS;LFPO;25;2692;MC;I
201701;DABB;LFLL;18;1501;MC;I
201701;DABB;LFML;31;3242;MC;I
201701;DABB;LFPG;9;857;MC;I
201701;DABB;LFPO;21;2460;MC;I
201701;DABC;LFLL;25;2417;MC;I
201701;DABC;LFML;31;3618;MC;I
201701;DABC;LFMN;7;829;MC;I
201701;DABC;LFPG;14;1436;MC;I
201701;DABC;LFPO;19;2328;MC;I
201701;DABC;LFSB;15;1482;MC;I
201701;DAOI;LFML;13;1334;MC;I
201701;DAON;LFML;9;987;MC;I
201701;DAON;LFPO;30;3668;MC;I
201701;DAOO;LFBO;45;3860;MC;I
201701;DAOO;LFLL;40;4001;MC;I
201701;DAOO;LFMK;5;521;MC;I
201701;DAOO;LFML;53;5925;MC;I
201701;DAOO;LFOK;6;681;MC;I
201701;DAOO;LFPG;50;5118;MC;I
201701;DAOO;LFPO;84;10119;MC;I
201701;DAOO;LFQQ;12;1214;MC;I
201701;DAUB;LFLL;5;580;MC;I
201701;DAUB;LFPO;9;1103;MC;I
201701;DBBB;LFPG;19;4438;LC;I
201701;DIAP;LFPG;60;16580;LC;I
201701;DIAP;LFPO;17;3367;LC;I
201701;DNAA;LFPG;12;2263;LC;I
201701;DNMM;LFPG;31;5930;LC;I
201701;DRRN;LFPG;26;4188;LC;I
201701;DTMB;LFLL;22;3140;MC;I
201701;DTMB;LFML;8;814;MC;I
201701;DTMB;LFMN;15;1786;MC;I
201701;DTMB;LFPG;14;2303;MC;I
201701;DTMB;LFPO;35;5323;MC;I
201701;DTTA;LFBD;8;760;MC;I
201701;DTTA;LFBO;26;2957;MC;I
201701;DTTA;LFLL;79;8166;MC;I
201701;DTTA;LFML;90;8762;MC;I
201701;DTTA;LFMN;49;6373;MC;I
201701;DTTA;LFPG;100;14881;MC;I
201701;DTTA;LFPO;164;25098;MC;I
201701;DTTA;LFRS;15;1877;MC;I
201701;DTTA;LFST;9;1114;MC;I
201701;DTTJ;LFLL;9;1190;MC;I
201701;DTTJ;LFML;5;556;MC;I
201701;DTTJ;LFPG;19;2924;MC;I
201701;DTTJ;LFPO;42;6451;MC;I
201701;DTTX;LFPG;14;1011;MC;I
201701;DTTZ;LFPO;9;1186;MC;I
201701;DXXX;LFPG;9;1780;LC;I
201701;EBBR;LFBD;33;1260;MC;I
201701;EBBR;LFBO;77;5558;MC;I
201701;EBBR;LFLL;152;8746;MC;I
201701;EBBR;LFML;74;3701;MC;I
201701;EBBR;LFMN;82;7886;MC;I
201701;EBBR;LFPG;97;6490;MC;I
201701;EBBR;LFRS;57;2232;MC;I
201701;EBBR;LFSB;67;3282;MC;I
201701;EBBR;LFST;34;615;MC;I
201701;EBCI;LFBD;23;3351;MC;I
201701;EBCI;LFBO;31;4392;MC;I
201701;EBCI;LFBZ;12;1245;MC;I
201701;EBCI;LFMK;26;3321;MC;I
201701;EBCI;LFML;32;4751;MC;I
201701;EBCI;LFMP;11;1589;MC;I
