ANMOIS;DEP;ARR;NVOLS;PAX_FS;FSC;ZON
200701;BIRK;LFPG;17;1617;MC;I
200701;CYQB;LFPG;7;1139;LC;I
200701;CYUL;LFPG;126;32275;LC;I
200701;CYYZ;LFPG;59;11027;LC;I
200701;DAAG;LFBO;17;1702;MC;I
200701;DAAG;LFJL;9;926;MC;I
200701;DAAG;LFLL;52;5525;MC;I
200701;DAAG;LFML;48;6198;MC;I
200701;DAAG;LFMN;9;642;MC;I
200701;DAAG;LFPG;94;12934;MC;I
200701;DAAG;LFPO;200;28760;MC;I
200701;DAAG;LFQQ;17;2245;MC;I
200701;DAAS;LFLL;21;2380;MC;I
200701;DAAS;LFML;9;909;MC;I
200701;DAAS;LFPO;22;3117;MC;I
200701;DAAT;LFPO;4;626;MC;I
200701;DABB;LFLL;4;545;MC;I
200701;DABB;LFML;22;2333;MC;I
200701;DABB;LFPO;18;1921;MC;I
200701;DABC;LFLL;17;1788;MC;I
200701;DABC;LFML;37;4386;MC;I
200701;DABC;LFPO;22;3027;MC;I
200701;DABC;LFSB;13;1521;MC;I
200701;DABT;LFLL;9;868;MC;I
200701;DABT;LFML;10;621;MC;I
200701;DABT;LFPO;13;1476;MC;I
200701;DAOI;LFML;8;963;MC;I
200701;DAON;LFPO;12;1761;MC;I
200701;DAOO;LFBO;18;2050;MC;I
200701;DAOO;LFLL;18;2404;MC;I
200701;DAOO;LFML;35;4078;MC;I
200701;DAOO;LFPO;63;10457;MC;I
200701;DBBB;LFPG;17;4160;LC;I
200701;DFFD;LFPG;16;3541;LC;I
200701;DFFD;LFPO;8;762;LC;I
200701;DIAP;LFPO;9;898;LC;I
200701;DNMM;LFPG;40;8081;LC;I
200701;DRRN;LFPG;11;2539;LC;I
200701;DRZA;LFML;4;626;LC;I
200701;DTMB;LFLL;16;1895;MC;I
200701;DTMB;LFMN;14;1944;MC;I
200701;DTMB;LFPG;16;2683;MC;I
200701;DTMB;LFPO;17;2300;MC;I
200701;DTTA;LFBD;9;905;MC;I
200701;DTTA;LFBO;18;2206;MC;I
200701;DTTA;LFLL;63;6780;MC;I
200701;DTTA;LFML;71;8515;MC;I
200701;DTTA;LFMN;42;5091;MC;I
200701;DTTA;LFPG;159;21641;MC;I
200701;DTTA;LFPO;108;14900;MC;I
200701;DTTA;LFRS;11;808;MC;I
200701;DTTA;LFST;9;937;MC;I
200701;DTTJ;LFBD;5;891;MC;I
200701;DTTJ;LFLL;12;1808;MC;I
200701;DTTJ;LFML;21;2607;MC;I
200701;DTTJ;LFMN;10;623;MC;I
200701;DTTJ;LFPG;41;6642;MC;I
200701;DTTJ;LFPO;65;9586;MC;I
200701;DTTJ;LFRS;9;1497;MC;I
200701;DTTX;LFPO;8;856;MC;I
200701;DTTZ;LFLL;9;1282;MC;I
200701;DTTZ;LFPO;18;2004;MC;I
200701;DXXX;LFPG;43;8131;LC;I
200701;EBBR;LFBD;34;571;MC;I
200701;EBBR;LFBO;63;2882;MC;I
200701;EBBR;LFLL;182;5646;MC;I
200701;EBBR;LFML;74;2253;MC;I
200701;EBBR;LFMN;85;6541;MC;I
200701;EBBR;LFPG;46;2423;MC;I
200701;EBBR;LFSB;71;1153;MC;I
200701;EBBR;LFST;74;2397;MC;I
200701;EBBR;LFTH;12;681;MC;I
200701;EBCI;LFLS;13;1268;MC;I
200701;EBCI;LFMK;31;4513;MC;I
200701;EBCI;LFML;13;1827;MC;I
200701;EBCI;LFTW;18;2330;MC;I
200701;EDDB;LFMN;23;2605;MC;I
200701;EDDB;LFSB;86;10174;MC;I
200701;EDDF;LFBO;85;3550;MC;I
200701;EDDF;LFLL;184;10210;MC;I
200701;EDDF;LFML;84;4495;MC;I
200701;EDDF;LFMN;120;7741;MC;I
200701;EDDF;LFPG;543;37572;MC;I
200701;EDDF;LFSB;89;3480;MC;I
200701;EDDH;LFBO;18;1788;MC;I
200701;EDDH;LFMN;30;884;MC;I
200701;EDDH;LFPG;218;13496;MC;I
200701;EDDH;LFSB;51;5494;MC;I
200701;EDDK;LFMN;17;1431;MC;I
200701;EDDK;LFPG;134;6549;MC;I
200701;EDDL;LFLL;134;3941;MC;I
200701;EDDL;LFML;23;505;MC;I
200701;EDDL;LFMN;49;1945;MC;I
200701;EDDL;LFPG;319;16294;MC;I
200701;EDDL;LFPO;52;2581;MC;I
200701;EDDL;LFSB;42;891;MC;I
200701;EDDM;LFBD;81;2345;MC;I
200701;EDDM;LFBO;117;4603;MC;I
200701;EDDM;LFLL;158;6140;MC;I
200701;EDDM;LFML;135;4092;MC;I
200701;EDDM;LFMN;125;5757;MC;I
200701;EDDM;LFPG;440;25957;MC;I
200701;EDDM;LFPO;49;2756;MC;I
200701;EDDM;LFSB;135;5670;MC;I
200701;EDDN;LFPG;214;6696;MC;I
200701;EDDP;LFPG;61;1264;MC;I
200701;EDDS;LFLL;52;1356;MC;I
200701;EDDS;LFMN;14;534;MC;I
200701;EDDS;LFPG;271;13816;MC;I
200701;EDDS;LFPO;31;2725;MC;I
200701;EDDS;LFSB;9;849;MC;I
200701;EDDT;LFPG;216;13911;MC;I
200701;EDDT;LFPO;85;10419;MC;I
200701;EDDV;LFPG;223;6589;MC;I
200701;EDDV;LFPO;40;3370;MC;I
200701;EDDW;LFBO;30;753;MC;I
200701;EDDW;LFPG;107;2803;MC;I
200701;EDFH;LFBZ;11;744;MC;I
200701;EDFH;LFML;18;1719;MC;I
200701;EDFH;LFMT;10;1144;MC;I
200701;EDFH;LFRS;13;902;MC;I
200701;EDHI;LFBO;70;3633;MC;I
200701;EDSB;LFML;12;1070;MC;I
200701;EFHF;LFPG;151;13321;MC;I
200701;EFIV;LFPG;8;1267;MC;I
200701;EFKT;LFPG;7;918;MC;I
200701;EFRO;LFPG;13;2019;MC;I
200701;EGAA;LFLB;8;841;MC;I
200701;EGAA;LFPG;31;3552;MC;I
200701;EGBB;LFBD;10;714;MC;I
200701;EGBB;LFBO;23;1794;MC;I
200701;EGBB;LFLB;23;1549;MC;I
200701;EGBB;LFLL;63;3153;MC;I
200701;EGBB;LFLS;6;633;MC;I
200701;EGBB;LFMN;12;1116;MC;I
200701;EGBB;LFPG;313;12976;MC;I
200701;EGBE;LFPO;20;1471;MC;I
200701;EGCC;LFBD;11;878;MC;I
200701;EGCC;LFBO;16;1866;MC;I
200701;EGCC;LFLB;33;3749;MC;I
200701;EGCC;LFLL;50;3601;MC;I
200701;EGCC;LFLS;18;3443;MC;I
200701;EGCC;LFMP;15;832;MC;I
200701;EGCC;LFPG;294;14634;MC;I
200701;EGCI;LFPO;20;1567;MC;I
200701;EGFF;LFLB;6;954;MC;I
200701;EGGD;LFBO;31;3524;MC;I
200701;EGGD;LFLB;9;1474;MC;I
200701;EGGD;LFLL;5;533;MC;I
200701;EGGD;LFLS;15;1800;MC;I
200701;EGGD;LFMN;15;1631;MC;I
200701;EGGD;LFPG;146;6323;MC;I
200701;EGGP;LFBL;13;1445;MC;I
200701;EGGP;LFLS;13;1065;MC;I
200701;EGGP;LFMK;13;1017;MC;I
200701;EGGP;LFMN;29;3326;MC;I
200701;EGGP;LFPG;60;6396;MC;I
200701;EGGP;LFSB;30;2768;MC;I
200701;EGGP;LFTW;14;1057;MC;I
200701;EGGW;LFBD;24;1937;MC;I
200701;EGGW;LFLS;34;2177;MC;I
200701;EGGW;LFMN;81;7218;MC;I
200701;EGGW;LFSB;63;5804;MC;I
200701;EGGW;LFTW;31;3526;MC;I
200701;EGHI;LFBE;18;744;MC;I
200701;EGHI;LFLB;23;882;MC;I
200701;EGHI;LFPG;75;2631;MC;I
200701;EGKK;LFBD;51;2713;MC;I
200701;EGKK;LFBO;159;13427;MC;I
200701;EGKK;LFLB;43;7300;MC;I
200701;EGKK;LFLL;42;8195;MC;I
200701;EGKK;LFLS;81;9908;MC;I
200701;EGKK;LFML;102;6837;MC;I
200701;EGKK;LFMN;94;7970;MC;I
200701;EGKK;LFST;50;1068;MC;I
200701;EGLC;LFSB;61;2889;MC;I
200701;EGLL;LFLL;103;8218;MC;I
200701;EGLL;LFMN;150;12812;MC;I
200701;EGLL;LFPG;968;70749;MC;I
200701;EGLL;LFPO;111;4054;MC;I
200701;EGLL;LFSB;91;4243;MC;I
200701;EGNM;LFLB;13;1507;MC;I
200701;EGNM;LFPG;97;4370;MC;I
200701;EGNT;LFLB;9;753;MC;I
200701;EGNT;LFPG;135;7935;MC;I
200701;EGNV;LFLS;3;667;MC;I
200701;EGNX;LFBL;11;1134;MC;I
200701;EGNX;LFLB;4;510;MC;I
200701;EGNX;LFLS;9;746;MC;I
200701;EGNX;LFMK;12;984;MC;I
200701;EGNX;LFPG;82;4516;MC;I
200701;EGNX;LFRD;14;1413;MC;I
200701;EGNX;LFRS;13;978;MC;I
200701;EGPD;LFPG;85;2938;MC;I
200701;EGPF;LFBO;4;624;MC;I
200701;EGPF;LFLL;8;1707;MC;I
200701;EGPH;LFLB;33;1964;MC;I
200701;EGPH;LFPG;170;6381;MC;I
200701;EGPK;LFLS;13;758;MC;I
200701;EGPK;LFOB;60;6489;MC;I
200701;EGSH;LFPG;29;686;MC;I
200701;EGSS;LFBE;32;3782;MC;I
200701;EGSS;LFBH;25;2594;MC;I
200701;EGSS;LFBI;25;2179;MC;I
