ANMOIS;DEP;ARR;PC15_D;PC15_A;RETARD_D;RETARD_A
201607;LFPG;EHAM;0,290;;14,7;
201607;LFPG;LFLL;0,329;0,301;16,5;14,2
201607;LFPG;LFMN;0,401;0,371;19,9;18,3
201607;LFPG;LFBO;0,447;0,385;19,1;17,1
201607;LFPG;LFBD;0,483;0,378;22,1;17,8
201607;LFPG;LFSB;0,205;0,120;9,5;5,4
201607;LFPG;LFMT;0,367;0,308;15,4;14,8
201607;LFPG;LIRF;0,375;;18,7;
201607;LFPG;LHBP;0,331;;14,8;
201607;LFPG;LKPR;0,410;;20,3;
201607;LFPG;LEBL;0,650;;37,5;
201607;LFPG;LSGG;0,341;;14,5;
201607;LFPG;ESSA;0,411;;18,4;
201607;LFPG;EDDT;0,442;;18,8;
201607;LFPG;LFRS;0,313;0,252;13,7;10,7
201607;LFPG;LPPT;0,449;;21,2;
201607;LFPG;LEMD;0,479;;22,5;
201607;LFPG;EDDM;0,244;;11,3;
201607;LFPG;LOWW;0,462;;21,0;
201607;LFPG;EGCC;0,367;;15,8;
201607;LFPG;EGLL;0,418;;18,7;
201607;LFPG;LSZH;0,353;;13,9;
201607;LFPG;EPWA;0,422;;20,6;
201607;LFPG;LIML;0,250;;11,6;
201607;LFPG;LGAV;0,387;;18,7;
201607;LFPG;EDDH;0,297;;13,1;
201607;LFPG;EKCH;0,398;;17,9;
201607;LFPG;LIPZ;0,347;;17,6;
201607;LFPG;EGBB;0,247;;11,8;
201607;LFPG;LROP;0,455;;17,0;
201607;LFPG;GMMN;0,563;;23,2;
201607;LFPG;UUEE;0,407;;16,7;
201607;LFPG;LIPE;0,132;;6,7;
201607;LFPG;EPKK;0,400;;17,6;
201607;LFPG;LFRB;0,241;;10,4;
201607;LFPG;DTTA;0,780;;31,3;
201607;LFPG;EIDW;0,326;;15,9;
201607;LFPG;EDDL;0,348;;17,0;
201607;LFPG;DAAG;0,805;;41,9;
201607;LFPG;LEMG;0,372;;15,5;
201607;LFPG;SBGL;0,296;;16,1;
201607;LFPG;KATL;0,479;;25,1;
201607;LFPG;GOOY;0,968;;48,2;
201607;LFPG;KMIA;0,521;;24,1;
201607;LFPG;CYVR;0,419;;19,8;
201607;LFPG;MUHA;0,725;;29,9;
201607;LFPG;KBOS;0,281;;16,7;
201607;LFPG;SPJC;0,826;;55,0;
201607;LFPG;RKSI;0,326;;14,8;
201607;LFPG;SCEL;0,290;;12,1;
201607;LFPG;KSFO;0,448;;25,3;
201607;LFPG;VIDP;0,365;;22,6;
201607;LFPG;ZGGG;0,164;;9,3;
201607;LFPG;ZBAA;0,358;;16,3;
201607;LFPG;VVTS;0,778;;31,9;
201607;LFPG;CYYZ;0,566;;28,3;
201607;LFPG;CYUL;0,470;;23,2;
201607;LFPG;FMMI;0,867;;44,5;
201607;LFPG;RJBB;0,478;;17,4;
201607;LFPG;DBBB;0,682;;30,3;
201607;LFPG;UKBB;0,575;;23,8;
201607;LFPG;LIRN;0,264;;12,1;
201607;LFPG;ULLI;0,446;;21,8;
201607;LFPG;LFML;0,411;0,361;20,2;18,5
201607;LFPG;LEPA;0,132;;17,1;
201607;LFPG;EDDS;0,130;;7,9;
201607;LFPG;LFLC;0,274;0,164;12,5;9,3
201607;LFPG;LFKB;0,273;0,172;13,5;10,0
201607;LFPG;LFKF;0,469;0,438;25,6;24,9
201607;LFPG;LFBZ;0,312;0,290;17,5;15,2
201607;LFPG;LFKJ;0,565;0,516;28,2;27,2
201607;LFPG;LTBA;0,613;;27,8;
201607;LFPG;GMME;0,552;;21,2;
201607;LFPG;LLBG;0,556;;26,0;
201607;LFPG;LFBP;0,283;0,217;13,3;11,0
201607;LFPG;LDZA;0,574;;25,1;
201607;LFPG;EGGW;0,377;;19,5;
