ANMOIS;APT;FSC;ZON;CAT;MVT;PAX;PEQ;CO2;NOX;COVNM;TSP
201201;LFPG;LC;I;A;1;0;0;0,001;0,002;0,000;0,000
201201;LFPG;LC;I;B;279;26139;26822;0,356;1,503;0,138;0,057
201201;LFPG;LC;I;C;7779;1721242;2752983;33,087;191,240;17,033;5,252
201201;LFPG;MC;I;A;5614;247111;264017;3,822;10,070;2,293;0,607
201201;LFPG;MC;I;B;18774;1903848;1973710;22,383;86,076;9,572;3,553
201201;LFPG;MC;I;C;1386;104932;450581;4,340;22,025;1,894;0,689
201201;LFPG;LC;O;C;94;34653;45186;0,449;3,118;0,233;0,071
201201;LFPG;CC;M;A;1007;36078;49052;0,507;1,375;0,381;0,080
201201;LFPG;CC;M;B;3882;381871;479244;4,488;16,872;1,854;0,712
201201;LFPG;CC;M;C;172;1809;30526;0,392;2,246;0,093;0,062
201201;LFPO;LC;I;B;62;8415;8527;0,076;0,319;0,018;0,012
201201;LFPO;LC;I;C;312;59640;78464;0,978;5,141;0,218;0,155
201201;LFPO;MC;I;A;647;18679;18680;0,183;0,409;0,230;0,029
201201;LFPO;MC;I;B;6510;736570;751458;7,056;30,703;1,905;1,120
201201;LFPO;MC;I;C;164;31441;38012;0,479;2,738;0,473;0,076
201201;LFPO;LC;O;C;769;288340;324501;3,126;19,565;0,863;0,496
201201;LFPO;CC;M;A;2241;69329;69337;0,728;2,115;0,598;0,116
201201;LFPO;CC;M;B;6862;760728;762613;6,661;27,912;1,832;1,057
201202;LFPG;LC;I;A;1;4;4;0,001;0,004;0,000;0,000
201202;LFPG;LC;I;B;252;22507;23102;0,319;1,355;0,126;0,051
201202;LFPG;LC;I;C;7128;1532910;2590287;30,790;177,082;15,979;4,887
201202;LFPG;MC;I;A;5483;238374;256023;3,732;9,826;2,274;0,592
201202;LFPG;MC;I;B;17415;1833005;1904730;20,931;80,193;8,855;3,322
201202;LFPG;MC;I;C;1378;97574;445071;4,391;21,960;1,960;0,697
201202;LFPG;LC;O;C;76;26765;34169;0,368;2,460;0,181;0,058
201202;LFPG;CC;M;A;989;34198;47847;0,495;1,336;0,374;0,079
201202;LFPG;CC;M;B;3546;354409;461791;4,171;15,660;1,682;0,662
201202;LFPG;CC;M;C;166;2747;30916;0,368;2,111;0,111;0,058
201202;LFPO;LC;I;B;59;7486;7581;0,073;0,297;0,016;0,012
201202;LFPO;LC;I;C;255;46483;61163;0,755;4,008;0,165;0,120
201202;LFPO;MC;I;A;681;20573;20573;0,191;0,422;0,228;0,030
201202;LFPO;MC;I;B;6232;737599;752278;6,851;29,784;1,866;1,087
201202;LFPO;MC;I;C;107;16939;23509;0,307;1,852;0,242;0,049
201202;LFPO;LC;O;C;731;283198;324553;3,016;18,553;0,804;0,479
201202;LFPO;CC;M;A;2270;67878;67886;0,744;2,161;0,559;0,118
201202;LFPO;CC;M;B;6601;685250;687209;6,461;27,049;1,759;1,026
201203;LFPG;LC;I;A;1;3;3;0,001;0,004;0,000;0,000
201203;LFPG;LC;I;B;272;26000;26757;0,340;1,479;0,131;0,054
201203;LFPG;LC;I;C;7945;1777543;3054224;33,782;198,392;16,754;5,362
201203;LFPG;MC;I;A;5861;277275;296520;3,926;10,487;2,282;0,623
201203;LFPG;MC;I;B;20372;2253246;2338953;24,182;93,216;10,054;3,838
201203;LFPG;MC;I;C;1564;118222;522208;4,943;24,846;2,157;0,785
201203;LFPG;LC;O;C;89;30933;39362;0,413;2,814;0,229;0,066
201203;LFPG;CC;M;A;1153;45279;59913;0,579;1,600;0,398;0,092
201203;LFPG;CC;M;B;3921;408863;521628;4,528;17,133;1,771;0,719
201203;LFPG;CC;M;C;173;2234;35150;0,386;2,148;0,116;0,061
201203;LFPO;LC;I;B;59;7465;7522;0,068;0,276;0,013;0,011
201203;LFPO;LC;I;C;286;51367;68350;0,812;4,322;0,174;0,129
201203;LFPO;MC;I;A;741;24097;24097;0,208;0,470;0,234;0,033
201203;LFPO;MC;I;B;6991;874312;891582;7,715;33,721;2,134;1,225
201203;LFPO;MC;I;C;165;29851;39239;0,452;2,697;0,355;0,072
201203;LFPO;LC;O;C;767;277501;330063;3,126;19,634;0,828;0,496
201203;LFPO;CC;M;A;2442;75867;75875;0,779;2,242;0,599;0,124
201203;LFPO;CC;M;B;8022;856370;858550;7,809;32,852;2,107;1,239
201204;LFPG;LC;I;A;4;18;18;0,002;0,007;0,001;0,000
201204;LFPG;LC;I;B;224;20981;21543;0,294;1,221;0,121;0,047
201204;LFPG;LC;I;C;7796;1776416;2927584;33,649;195,667;17,369;5,341
201204;LFPG;MC;I;A;5064;253827;264932;3,502;9,314;1,894;0,556
201204;LFPG;MC;I;B;20981;2586978;2671378;25,419;98,473;10,120;4,035
201204;LFPG;MC;I;C;1706;168856;548031;5,418;27,467;2,429;0,860
201204;LFPG;LC;O;C;89;33542;42144;0,429;2,934;0,227;0,068
201204;LFPG;CC;M;A;1119;48208;60015;0,582;1,640;0,370;0,092
201204;LFPG;CC;M;B;3863;416575;510716;4,429;16,025;1,792;0,703
201204;LFPG;CC;M;C;146;1226;30663;0,317;1,739;0,091;0,050
201204;LFPO;LC;I;B;46;5645;5653;0,053;0,212;0,012;0,008
201204;LFPO;LC;I;C;232;39331;48191;0,647;3,390;0,101;0,103
201204;LFPO;MC;I;A;631;22314;22314;0,177;0,379;0,218;0,028
201204;LFPO;MC;I;B;7375;1023929;1038208;8,231;35,880;2,140;1,307
201204;LFPO;MC;I;C;259;62990;74839;0,811;4,301;0,688;0,129
201204;LFPO;LC;O;C;720;266419;327038;2,990;18,573;0,807;0,475
201204;LFPO;CC;M;A;2081;69277;69285;0,684;1,965;0,551;0,109
201204;LFPO;CC;M;B;7374;852051;854088;7,346;31,413;1,837;1,166
201205;LFPG;LC;I;A;2;0;0;0,002;0,005;0,000;0,000
201205;LFPG;LC;I;B;159;14160;14629;0,210;0,809;0,088;0,033
201205;LFPG;LC;I;C;7918;1760580;2918371;34,385;200,959;17,800;5,458
201205;LFPG;MC;I;A;5255;263578;275905;3,596;9,606;1,861;0,571
201205;LFPG;MC;I;B;21886;2591081;2667701;26,300;101,891;10,639;4,175
201205;LFPG;MC;I;C;1817;156350;558462;5,655;29,432;2,393;0,898
201205;LFPG;LC;O;C;76;26083;34638;0,358;2,611;0,150;0,057
201205;LFPG;CC;M;A;1094;47054;57581;0,568;1,629;0,362;0,090
201205;LFPG;CC;M;B;4064;427440;509275;4,645;16,842;1,912;0,737
201205;LFPG;CC;M;C;158;2388;30562;0,341;1,880;0,112;0,054
201205;LFPO;LC;I;B;32;3082;3085;0,040;0,171;0,011;0,006
201205;LFPO;LC;I;C;216;29360;34426;0,574;3,002;0,104;0,091
201205;LFPO;MC;I;A;710;23317;23317;0,192;0,411;0,241;0,030
201205;LFPO;MC;I;B;8012;1052738;1067600;8,859;38,450;2,299;1,406
201205;LFPO;MC;I;C;174;33652;42384;0,500;2,827;0,449;0,079
201205;LFPO;LC;O;C;611;204638;245031;2,427;14,940;0,639;0,385
201205;LFPO;CC;M;A;2084;68659;68673;0,677;1,928;0,541;0,107
201205;LFPO;CC;M;B;8115;900389;902736;8,097;34,614;2,038;1,285
201206;LFPG;LC;I;B;129;11674;12777;0,174;0,672;0,067;0,028
201206;LFPG;LC;I;C;8260;1962967;3105580;35,933;208,878;18,559;5,704
201206;LFPG;MC;I;A;5050;264408;276776;3,467;9,279;1,771;0,550
201206;LFPG;MC;I;B;21638;2609551;2694075;25,927;100,263;10,569;4,115
201206;LFPG;MC;I;C;1825;177851;573275;5,717;29,819;2,322;0,907
201206;LFPG;LC;O;C;77;26503;34876;0,372;2,670;0,161;0,059
201206;LFPG;CC;M;A;1148;50440;62927;0,588;1,677;0,416;0,093
201206;LFPG;CC;M;B;4072;433200;536909;4,670;16,925;1,910;0,741
201206;LFPG;CC;M;C;175;4777;32288;0,391;2,165;0,108;0,062
201206;LFPO;LC;I;B;35;3923;3924;0,043;0,207;0,010;0,007
201206;LFPO;LC;I;C;260;48120;54845;0,784;4,115;0,149;0,125
201206;LFPO;MC;I;A;696;23597;23598;0,193;0,420;0,245;0,031
201206;LFPO;MC;I;B;7944;1029285;1043694;8,901;38,754;2,405;1,413
201206;LFPO;MC;I;C;227;43953;54470;0,626;3,501;0,600;0,099
201206;LFPO;LC;O;C;596;200570;238326;2,451;15,580;0,646;0,389
201206;LFPO;CC;M;A;2325;77370;77380;0,738;2,114;0,587;0,117
201206;LFPO;CC;M;B;8470;1006497;1008907;8,511;36,408;2,192;1,351
201207;LFPG;LC;I;A;2;0;0;0,001;0,006;0,000;0,000
201207;LFPG;LC;I;B;145;14609;15590;0,198;0,750;0,074;0,031
201207;LFPG;LC;I;C;8961;2173905;3405133;38,486;224,562;19,819;6,109
201207;LFPG;MC;I;A;4972;260872;273347;3,470;9,194;1,868;0,551
201207;LFPG;MC;I;B;22593;2876980;2955586;27,269;106,229;11,012;4,328
201207;LFPG;MC;I;C;1913;202103;606679;6,115;32,019;2,543;0,971
201207;LFPG;LC;O;C;87;34122;43740;0,401;3,000;0,164;0,064
201207;LFPG;CC;M;A;1088;47486;58957;0,553;1,559;0,422;0,088
201207;LFPG;CC;M;B;4198;468753;562248;4,793;17,659;2,020;0,761
201207;LFPG;CC;M;C;160;2002;26722;0,333;1,915;0,087;0,053
201207;LFPO;LC;I;B;40;4318;4318;0,048;0,215;0,014;0,008
201207;LFPO;LC;I;C;330;77718;84797;0,980;5,138;0,220;0,156
201207;LFPO;MC;I;A;714;25741;25741;0,197;0,434;0,246;0,031
201207;LFPO;MC;I;B;8940;1212032;1225017;10,027;43,408;2,588;1,592
201207;LFPO;MC;I;C;393;78324;91801;1,114;5,966;1,139;0,177
201207;LFPO;LC;O;C;821;326010;363946;3,473;22,416;0,926;0,551
201207;LFPO;CC;M;A;2081;66534;66547;0,640;1,803;0,529;0,102
201207;LFPO;CC;M;B;7981;983683;986401;7,925;34,222;2,031;1,258
201208;LFPG;LC;I;B;209;20904;22104;0,272;1,054;0,087;0,043
201208;LFPG;LC;I;C;8804;2121473;3216338;37,549;221,125;19,350;5,960
