ANMOIS;APT;FSC;ZON;CAT;MVT;PAX;PEQ;CO2;NOX;COVNM;TSP
200901;LFBD;LC;I;B;18;2220;2220;0,021;0,109;0,008;0,003
200901;LFBD;MC;I;A;638;16031;16149;0,171;0,503;0,105;0,027
200901;LFBD;MC;I;B;316;26636;26853;0,270;1,153;0,052;0,043
200901;LFBD;MC;I;C;48;0;3340;0,091;0,462;0,055;0,014
200901;LFBD;CC;M;A;1;0;0;0,000;0,000;0,000;0,000
200901;LFBD;CC;M;B;1037;109235;113809;1,019;4,871;0,250;0,162
200901;LFBD;CC;M;A;798;18457;19287;0,255;0,852;0,117;0,040
200901;LFBD;CC;M;B;581;42073;42241;0,346;1,359;0,128;0,055
200901;LFBD;CC;M;C;8;0;308;0,012;0,070;0,002;0,002
200901;LFBO;LC;I;A;4;19;19;0,002;0,007;0,001;0,000
200901;LFBO;LC;I;B;11;1759;1759;0,010;0,043;0,002;0,002
200901;LFBO;LC;I;C;8;2470;2470;0,020;0,150;0,005;0,003
200901;LFBO;MC;I;A;1115;39351;39637;0,435;1,365;0,132;0,069
200901;LFBO;MC;I;B;1124;98762;100060;0,751;3,225;0,190;0,119
200901;LFBO;MC;I;C;141;5557;27330;0,291;1,593;0,158;0,046
200901;LFBO;LC;O;C;16;4249;4958;0,065;0,518;0,005;0,010
200901;LFBO;CC;M;A;31;29;480;0,007;0,017;0,013;0,001
200901;LFBO;CC;M;B;2075;223543;232955;2,023;9,231;0,584;0,321
200901;LFBO;CC;M;C;24;559;1881;0,061;0,396;0,032;0,010
200901;LFBO;CC;M;A;1088;33249;33253;0,317;1,011;0,224;0,050
200901;LFBO;CC;M;B;510;37142;37978;0,392;1,716;0,133;0,062
200901;LFBO;CC;M;C;114;3296;14846;0,201;1,127;0,082;0,032
200901;LFLL;LC;I;B;9;1569;1569;0,011;0,039;0,006;0,002
200901;LFLL;LC;I;C;39;7705;7738;0,083;0,438;0,011;0,013
200901;LFLL;MC;I;A;2586;76404;76706;0,987;2,858;0,412;0,157
200901;LFLL;MC;I;B;2344;203892;206863;1,744;7,083;0,583;0,277
200901;LFLL;MC;I;C;131;7518;21015;0,249;1,340;0,115;0,039
200901;LFLL;LC;O;C;17;6515;6779;0,084;0,543;0,007;0,013
200901;LFLL;CC;M;A;39;311;950;0,010;0,022;0,017;0,002
200901;LFLL;CC;M;B;475;44253;47741;0,422;1,776;0,178;0,067
200901;LFLL;CC;M;C;26;2638;2699;0,054;0,288;0,017;0,009
200901;LFLL;CC;M;A;1936;57650;57669;0,732;2,253;0,560;0,116
200901;LFLL;CC;M;B;1659;121299;121397;0,977;3,851;0,395;0,155
200901;LFLL;CC;M;C;50;6230;7781;0,126;0,827;0,044;0,020
200901;LFML;LC;I;A;4;11;11;0,001;0,002;0,001;0,000
200901;LFML;LC;I;B;65;6336;6427;0,079;0,395;0,027;0,013
200901;LFML;LC;I;C;21;3846;3884;0,051;0,325;0,021;0,008
200901;LFML;MC;I;A;1111;37293;40476;0,284;0,829;0,192;0,045
200901;LFML;MC;I;B;1539;145340;147761;1,509;6,453;0,327;0,240
200901;LFML;MC;I;C;111;4241;13624;0,227;1,162;0,140;0,036
200901;LFML;LC;O;C;26;9574;9669;0,082;0,562;0,006;0,013
200901;LFML;CC;M;B;1341;119957;133305;1,377;5,782;0,400;0,219
200901;LFML;CC;M;C;16;758;811;0,035;0,197;0,015;0,006
200901;LFML;CC;M;A;1240;30479;33016;0,326;0,961;0,359;0,052
200901;LFML;CC;M;B;1160;75352;84965;0,735;2,678;0,239;0,117
200901;LFML;CC;M;C;96;5967;6101;0,233;1,378;0,078;0,037
200901;LFMN;LC;I;A;5;23;23;0,002;0,007;0,001;0,000
200901;LFMN;LC;I;B;3;9;9;0,004;0,019;0,001;0,001
200901;LFMN;LC;I;C;76;11483;15101;0,199;1,143;0,040;0,032
200901;LFMN;MC;I;A;2691;47153;47257;0,503;1,283;1,172;0,080
200901;LFMN;MC;I;B;2070;171902;172782;1,912;7,685;0,621;0,304
200901;LFMN;MC;I;C;316;30182;30306;0,554;3,560;0,027;0,088
200901;LFMN;CC;M;A;32;0;461;0,007;0,019;0,014;0,001
200901;LFMN;CC;M;B;1733;211532;215353;1,699;7,558;0,545;0,270
200901;LFMN;CC;M;A;1383;42818;43763;0,420;1,314;0,549;0,067
200901;LFMN;CC;M;B;400;28001;28007;0,058;0,228;0,027;0,009
200901;LFOB;MC;I;B;1499;167973;167973;1,727;7,881;0,291;0,274
200901;LFOB;CC;M;B;58;5577;5577;0,069;0,321;0,012;0,011
200901;LFPG;LC;I;A;1;2;2;0,001;0,001;0,000;0,000
200901;LFPG;LC;I;B;379;30462;31019;0,537;2,251;0,324;0,085
200901;LFPG;LC;I;C;7538;1545390;2664450;31,312;176,120;19,103;4,970
200901;LFPG;MC;I;A;7353;267352;300443;2,749;7,438;1,924;0,436
200901;LFPG;MC;I;B;19426;1769204;1818993;22,094;84,433;9,799;3,507
200901;LFPG;MC;I;C;1492;117926;503376;4,578;24,325;2,205;0,727
200901;LFPG;LC;O;C;81;24677;32502;0,343;2,452;0,044;0,054
200901;LFPG;CC;M;A;660;17947;23355;0,307;0,808;0,368;0,049
200901;LFPG;CC;M;B;4023;332864;430184;4,048;14,970;1,759;0,642
200901;LFPG;CC;M;C;125;1672;21188;0,299;1,618;0,126;0,047
200901;LFPO;LC;I;B;168;13864;14545;0,207;0,885;0,079;0,033
200901;LFPO;LC;I;C;300;63069;66952;0,790;4,097;0,200;0,125
200901;LFPO;MC;I;A;541;14814;14830;0,126;0,309;0,095;0,020
200901;LFPO;MC;I;B;5949;631391;655376;6,325;28,575;1,924;1,004
200901;LFPO;MC;I;C;210;33045;43427;0,567;2,996;0,553;0,090
200901;LFPO;LC;O;C;707;254340;294218;2,814;18,453;0,965;0,447
200901;LFPO;CC;M;A;1659;41529;41533;0,537;1,632;0,456;0,085
200901;LFPO;CC;M;B;7633;753870;756734;7,200;30,488;2,511;1,143
200901;LFPO;CC;M;C;14;2929;3026;0,065;0,373;0,007;0,010
200901;LFRS;LC;I;B;28;3303;3303;0,033;0,130;0,016;0,005
200901;LFRS;LC;I;C;24;5327;5870;0,068;0,440;0,010;0,011
200901;LFRS;MC;I;A;363;9183;9185;0,147;0,428;0,060;0,023
200901;LFRS;MC;I;B;417;51918;52540;0,453;2,148;0,097;0,072
200901;LFRS;MC;I;C;50;988;6405;0,104;0,583;0,028;0,017
200901;LFRS;LC;O;C;27;9976;10082;0,110;0,650;0,009;0,017
200901;LFRS;CC;M;A;5;298;302;0,001;0,004;0,001;0,000
