ANMOIS;APT;FSC;ZON;CAT;MVT;PAX;PEQ;CO2;NOX;COVNM;TSP
200301;LFPG;LC;I;A;7;7;1731;0,004;0,011;0,001;0,001
200301;LFPG;LC;I;B;134;18928;19067;0,192;0,772;0,094;0,031
200301;LFPG;LC;I;C;6543;1250083;2111886;27,448;143,841;24,027;4,357
200301;LFPG;MC;I;A;6949;210411;222201;4,045;9,923;3,077;0,642
200301;LFPG;MC;I;B;19651;1492636;1550187;24,842;93,102;7,612;3,943
200301;LFPG;MC;I;C;1774;140805;392660;4,887;27,257;2,901;0,776
200301;LFPG;LC;O;C;36;8265;14358;0,185;1,020;0,474;0,029
200301;LFPG;CC;M;A;1005;16115;36101;0,426;1,007;0,562;0,068
200301;LFPG;CC;M;B;4569;366300;473989;5,481;19,443;1,888;0,870
200301;LFPG;CC;M;C;205;4156;59532;0,522;2,743;0,173;0,083
200301;LFPO;LC;I;B;66;4181;4466;0,082;0,335;0,023;0,013
200301;LFPO;LC;I;C;230;81389;87606;0,942;5,068;0,626;0,150
200301;LFPO;MC;I;A;572;13719;13722;0,266;0,696;0,190;0,042
200301;LFPO;MC;I;B;3723;328192;358014;4,238;18,014;1,134;0,673
200301;LFPO;MC;I;C;677;100003;131593;1,582;8,212;1,046;0,251
200301;LFPO;LC;O;C;723;272260;296495;3,152;17,092;4,264;0,500
200301;LFPO;CC;M;A;2530;61292;61320;0,841;2,156;0,805;0,134
200301;LFPO;CC;M;B;9142;975260;980296;9,794;41,358;3,083;1,555
200301;LFPO;CC;M;C;35;10347;10430;0,097;0,417;0,120;0,015
200302;LFPG;LC;I;A;4;336;1129;0,003;0,007;0,002;0,000
200302;LFPG;LC;I;B;123;18211;18283;0,179;0,719;0,084;0,028
200302;LFPG;LC;I;C;5772;1117215;1965402;24,281;125,977;21,604;3,854
200302;LFPG;MC;I;A;6728;226294;239580;3,939;9,703;2,895;0,625
200302;LFPG;MC;I;B;18233;1547243;1608701;23,015;85,992;7,000;3,653
200302;LFPG;MC;I;C;1602;126530;344641;4,336;23,782;2,561;0,688
200302;LFPG;LC;O;C;65;15821;22973;0,276;1,492;0,576;0,044
200302;LFPG;CC;M;A;980;16704;39096;0,412;0,979;0,550;0,065
200302;LFPG;CC;M;B;4061;349090;449333;4,895;17,377;1,662;0,777
200302;LFPG;CC;M;C;203;3414;54065;0,500;2,610;0,160;0,079
200302;LFPO;LC;I;B;58;4714;5144;0,072;0,293;0,020;0,011
200302;LFPO;LC;I;C;197;72626;79883;0,782;4,185;0,664;0,124
200302;LFPO;MC;I;A;535;13576;13580;0,257;0,681;0,175;0,041
200302;LFPO;MC;I;B;2948;290270;315521;3,283;13,992;0,807;0,521
200302;LFPO;MC;I;C;710;110030;147611;1,622;8,433;0,943;0,257
200302;LFPO;LC;O;C;537;220381;255147;2,464;13,314;3,779;0,391
200302;LFPO;CC;M;A;2267;58398;58437;0,821;2,130;0,686;0,130
200302;LFPO;CC;M;B;7154;813933;818706;7,356;30,989;2,248;1,168
200302;LFPO;CC;M;C;43;8822;8966;0,101;0,536;0,079;0,016
200303;LFPG;LC;I;B;150;22178;22557;0,219;0,882;0,099;0,035
200303;LFPG;LC;I;C;6596;1240940;2327385;27,506;144,185;24,583;4,366
200303;LFPG;MC;I;A;7579;259601;267447;4,562;11,324;3,232;0,724
200303;LFPG;MC;I;B;20889;1740580;1808561;26,272;97,963;8,010;4,170
200303;LFPG;MC;I;C;1655;124539;393308;4,482;24,706;2,641;0,711
200303;LFPG;LC;O;C;85;24636;33270;0,373;1,817;0,666;0,059
200303;LFPG;CC;M;A;1010;22278;36256;0,408;0,981;0,565;0,065
200303;LFPG;CC;M;B;4700;405851;513678;5,675;20,128;2,013;0,901
200303;LFPG;CC;M;C;197;1637;54300;0,501;2,657;0,144;0,079
200303;LFPO;LC;I;B;62;4485;5151;0,077;0,314;0,021;0,012
200303;LFPO;LC;I;C;208;78517;89953;0,851;4,636;0,662;0,135
200303;LFPO;MC;I;A;553;15768;15768;0,268;0,703;0,183;0,043
200303;LFPO;MC;I;B;3275;321308;354640;3,624;15,522;0,886;0,575
200303;LFPO;MC;I;C;630;99057;138433;1,443;7,383;1,032;0,229
200303;LFPO;LC;O;C;535;229986;276050;2,504;13,582;4,139;0,397
200303;LFPO;CC;M;A;2420;64766;64815;0,849;2,195;0,722;0,135
200303;LFPO;CC;M;B;8019;924509;930340;8,138;34,099;2,576;1,292
200303;LFPO;CC;M;C;52;10449;10958;0,127;0,619;0,119;0,020
200304;LFPG;LC;I;A;1;0;596;0,000;0,000;0,000;0,000
200304;LFPG;LC;I;B;97;12853;13116;0,141;0,576;0,070;0,022
200304;LFPG;LC;I;C;6050;1072428;2002110;25,033;131,837;22,516;3,973
200304;LFPG;MC;I;A;7069;266559;276419;4,264;10,648;2,961;0,677
200304;LFPG;MC;I;B;19724;1828381;1888522;24,952;92,832;7,856;3,961
200304;LFPG;MC;I;C;1787;167541;417780;4,750;26,236;3,045;0,754
200304;LFPG;LC;O;C;56;17521;29489;0,272;1,428;0,622;0,043
200304;LFPG;CC;M;A;776;16743;27908;0,311;0,742;0,378;0,049
200304;LFPG;CC;M;B;4639;394767;498447;5,616;19,693;1,930;0,891
200304;LFPG;CC;M;C;216;3243;59119;0,547;2,873;0,173;0,087
200304;LFPO;LC;I;A;1;1;1;0,001;0,002;0,001;0,000
200304;LFPO;LC;I;B;59;4595;5065;0,073;0,302;0,021;0,012
200304;LFPO;LC;I;C;189;66001;72658;0,756;4,153;0,492;0,120
200304;LFPO;MC;I;A;519;16194;16207;0,261;0,729;0,139;0,041
200304;LFPO;MC;I;B;3196;361350;390414;3,599;15,683;0,845;0,571
200304;LFPO;MC;I;C;750;144197;181632;1,926;9,751;1,689;0,306
200304;LFPO;LC;O;C;516;217757;263407;2,442;13,318;3,999;0,388
200304;LFPO;CC;M;A;2450;66945;66980;0,772;1,989;0,842;0,123
200304;LFPO;CC;M;B;8131;943136;948413;8,164;33,966;2,643;1,296
200304;LFPO;CC;M;C;134;29880;30176;0,368;1,885;0,398;0,058
200305;LFPG;LC;I;A;6;695;1013;0,001;0,003;0,008;0,000
200305;LFPG;LC;I;B;49;5994;6223;0,072;0,285;0,028;0,011
200305;LFPG;LC;I;C;6162;1095427;1991862;25,309;133,205;22,488;4,017
200305;LFPG;MC;I;A;7013;263641;273409;4,272;10,676;2,934;0,678
200305;LFPG;MC;I;B;20037;1847744;1894265;25,415;95,876;8,059;4,034
200305;LFPG;MC;I;C;1835;167629;429114;5,004;27,608;2,731;0,794
200305;LFPG;LC;O;C;36;9516;16547;0,183;0,945;0,456;0,029
200305;LFPG;CC;M;A;783;18152;27118;0,334;0,827;0,371;0,053
200305;LFPG;CC;M;B;4506;389487;466412;5,389;18,931;1,826;0,855
200305;LFPG;CC;M;C;180;3977;45648;0,475;2,499;0,175;0,075
200305;LFPO;LC;I;B;67;5091;5649;0,083;0,335;0,023;0,013
200305;LFPO;LC;I;C;132;42526;47308;0,493;2,666;0,323;0,078
200305;LFPO;MC;I;A;465;14555;14555;0,223;0,638;0,115;0,035
200305;LFPO;MC;I;B;3340;341603;368747;3,754;16,382;0,899;0,596
200305;LFPO;MC;I;C;728;126184;168392;1,842;9,495;1,363;0,292
200305;LFPO;LC;O;C;473;188598;220060;2,213;12,018;3,849;0,351
200305;LFPO;CC;M;A;1836;47449;47521;0,581;1,522;0,672;0,092
200305;LFPO;CC;M;B;8096;878182;883515;8,092;33,325;2,593;1,284
200305;LFPO;CC;M;C;78;19920;20206;0,294;1,483;0,514;0,047
200306;LFPG;LC;I;A;1;10;10;0,001;0,001;0,000;0,000
200306;LFPG;LC;I;B;52;6736;7068;0,075;0,298;0,029;0,012
