ANMOIS;DEP;ARR;PC15_D;PC15_A;RETARD_D;RETARD_A
201209;LEBL;LFSB;;0,101;;4,7
201209;LEBL;LFLL;;0,087;;5,0
201209;LEBL;LFMN;;0,129;;8,6
201209;LEBL;LFPG;;0,096;;5,7
201209;LEBL;LFST;;0,000;;2,9
201209;LEBL;LFRS;;0,091;;5,7
201209;LEBL;LFBD;;0,261;;11,8
201209;LEBL;LFML;;0,048;;5,9
201209;LEBL;LFBO;;0,231;;7,8
201209;LEBL;LFPO;;0,233;;11,1
201209;LEBL;LFOB;;0,067;;3,4
201209;LFSB;EKCH;0,069;;3,4;
201209;LFSB;EDDH;0,032;;2,7;
201209;LFSB;EGLC;0,089;;6,8;
201209;LFSB;LIRF;0,146;;12,1;
201209;LFSB;LFLL;0,071;0,095;4,6;4,2
201209;LFSB;LKPR;0,182;;8,2;
201209;LFSB;LEBL;0,124;;6,2;
201209;LFSB;LFMN;0,188;0,125;8,0;7,6
201209;LFSB;LFPG;0,087;0,096;4,2;3,9
201209;LFSB;GCTS;0,118;;29,8;
201209;LFSB;LFRS;0,077;0,077;5,5;4,6
201209;LFSB;LFBD;0,080;0,080;3,8;2,4
201209;LFSB;EHAM;0,071;;9,8;
201209;LFSB;LIPZ;0,308;;20,3;
201209;LFSB;LFBO;0,085;0,085;8,0;7,6
201209;LFSB;EDDL;0,161;;8,5;
201209;LFSB;LFKJ;0,100;0,400;7,2;8,7
201209;LFSB;LPPT;0,000;;0,8;
201209;LFSB;LFPO;0,055;0,079;3,6;3,6
201209;LFSB;LIRN;0,333;;15,2;
201209;LFSB;EGKK;0,113;;9,5;
201209;LFSB;EDDB;0,111;;8,5;
201209;LFSB;LEMD;0,267;;14,5;
201209;LFSB;EGPH;0,176;;8,5;
201209;LFSB;LPPR;0,115;;13,5;
201209;LFSB;LOWW;0,160;;6,4;
201209;LFSB;GMMN;0,545;;17,5;
201209;LFSB;GMMX;0,154;;9,1;
201209;LFSB;LEMG;0,118;;10,5;
201209;LFSB;EDDM;0,069;;5,5;
201209;LFSB;LEIB;0,300;;13,6;
201209;LFSB;LTFJ;0,129;;5,0;
201209;LFSB;LEPA;0,143;;9,8;
201209;LFSB;LGIR;0,136;;9,5;
201209;LFSB;LEAL;0,000;;1,0;
201209;LFSB;EDDC;0,118;;9,1;
201209;LFSB;BKPR;0,370;;18,5;
201209;LFSB;EDDF;0,093;;4,7;
201209;LFSB;EGLL;0,089;;4,9;
201209;LFSB;LTAI;0,059;;22,3;
201209;LFSB;LLBG;0,000;;2,3;
201209;LFSB;DABC;0,471;;19,7;
201209;LFSB;GCLP;0,053;;4,5;
201209;LFSB;LTBA;0,324;;13,2;
201209;EGLC;LFSB;;0,128;;5,6
201209;EGLC;LFMN;;0,133;;10,2
201209;EGLC;LFRS;;0,100;;5,0
201209;EGLC;LFPO;;0,136;;7,8
201209;EDDH;LFSB;;0,053;;2,3
201209;EDDH;LFMN;;0,167;;7,9
201209;EDDH;LFPG;;0,103;;4,7
201209;EDDH;LFML;;0,143;;8,4
201209;EDDH;LFBO;;0,118;;3,6
201209;LIRF;LFSB;;0,188;;13,1
201209;LIRF;LFLL;;0,150;;8,1
201209;LIRF;LFMN;;0,348;;18,2
201209;LIRF;LFPG;;0,228;;11,0
201209;LIRF;LFST;;0,176;;3,9
201209;LIRF;LFRS;;0,440;;26,1
201209;LIRF;LFBD;;0,235;;12,4
201209;LIRF;LFML;;0,095;;5,2
201209;LIRF;LFBO;;0,167;;11,9
201209;LIRF;LFPO;;0,253;;11,7
201209;LIRF;LFOB;;0,615;;20,8
201209;EKCH;LFSB;;0,069;;1,4
201209;EKCH;LFLL;;0,160;;6,0
201209;EKCH;LFMN;;0,073;;5,2
201209;EKCH;LFPG;;0,077;;3,9
201209;EKCH;LFML;;0,000;;1,6
201209;EKCH;LFPO;;0,160;;5,4
201209;LKPR;LFSB;;0,045;;2,2
201209;LKPR;LFLL;;0,067;;3,4
201209;LKPR;LFPG;;0,099;;5,3
201209;LKPR;LFST;;0,054;;1,9
201209;LKPR;LFML;;0,077;;1,5
201209;LKPR;LFBO;;0,000;;2,6
201209;LFMN;LFSB;0,313;0,250;14,3;11,5
201209;LFMN;EKCH;0,104;;7,7;
201209;LFMN;EDDH;0,267;;10,3;
201209;LFMN;EGLC;0,233;;12,0;
201209;LFMN;LSZH;0,258;;11,7;
201209;LFMN;LIRF;0,375;;20,8;
201209;LFMN;LFLL;0,147;0,091;7,1;4,9
201209;LFMN;LEBL;0,314;;16,3;
201209;LFMN;EBBR;0,315;;15,0;
201209;LFMN;LSGG;0,154;;7,2;
201209;LFMN;EGCC;0,333;;11,2;
201209;LFMN;LFPG;0,133;0,063;7,1;4,5
201209;LFMN;EHEH;0,182;;7,1;
201209;LFMN;LFST;0,082;0,060;5,6;5,4
201209;LFMN;EIDW;0,538;;21,2;
201209;LFMN;LFQQ;0,111;;5,9;
201209;LFMN;LFJL;0,172;;16,5;
201209;LFMN;LFRS;0,048;0,032;4,0;1,8
201209;LFMN;LFLC;0,222;;11,7;
201209;LFMN;LFBD;0,039;0,026;2,3;1,5
201209;LFMN;EHAM;0,193;;8,7;
201209;LFMN;LIPZ;0,000;;1,0;
201209;LFMN;LIMC;0,143;;6,1;
201209;LFMN;LFKC;0,128;;7,6;
201209;LFMN;LFBO;0,062;0,103;5,6;6,3
201209;LFMN;EDDL;0,400;;18,5;
201209;LFMN;LFKF;0,234;;11,7;
201209;LFMN;LFKJ;0,074;0,074;8,6;7,2
201209;LFMN;LPPT;0,300;;22,3;
201209;LFMN;LFPO;0,163;0,129;8,9;6,8
201209;LFMN;LFRN;0,138;;6,1;
201209;LFMN;LIRN;0,227;;6,6;
201209;LFMN;EGKK;0,271;;13,1;
201209;LFMN;EGGW;0,466;;22,4;
201209;LFMN;EDDB;0,226;;7,9;
201209;LFMN;LEMD;0,211;;10,7;
201209;LFMN;EGGD;0,133;;9,8;
201209;LFMN;EGPH;0,118;;8,9;
201209;LFMN;EGAA;0,154;;6,3;
201209;LFMN;LOWW;0,170;;8,1;
201209;LFMN;EGSS;0,133;;6,0;
201209;LFMN;LFKB;0,115;;6,0;
201209;LFMN;GMMN;0,190;;8,3;
201209;LFMN;EGGP;0,200;;11,3;
201209;LFMN;EDDM;0,201;;8,8;
201209;LFMN;EGBB;0,182;;27,3;
201209;LFMN;EGNT;0,000;;3,9;
201209;LFMN;ESSA;0,200;;10,2;
201209;LFMN;EDDT;0,227;;10,6;
201209;LFMN;DTTA;0,661;;61,9;
201209;LFMN;ELLX;0,129;;7,3;
201209;LFMN;EFHK;0,219;;9,8;
201209;LFMN;EPWA;0,148;;11,4;
201209;LFMN;ULLI;0,579;;25,1;
201209;LFMN;DTTJ;0,308;;17,2;
201209;LFMN;EDDF;0,198;;11,7;
201209;LFMN;EGNM;0,357;;11,9;
201209;LFMN;EGHI;0,611;;23,6;
201209;LFMN;ENGM;0,215;;11,0;
201209;LFMN;EDDK;0,533;;21,4;
201209;LFMN;UUEE;0,114;;6,0;
201209;LFMN;EHRD;0,133;;6,4;
201209;LFMN;EVRA;0,077;;7,4;
201209;LFMN;EGLL;0,215;;11,2;
201209;LFMN;LLBG;0,333;;21,9;
201209;LFMN;DAAG;0,615;;32,6;
201209;LFMN;DTMB;0,350;;12,3;
201209;LFMN;LROP;0,250;;13,2;
201209;LFMN;UKBB;0,083;;45,1;
201209;LFMN;LTBA;0,119;;6,3;
201209;LFMN;OMDB;0,267;;12,3;
201209;LFMN;KJFK;0,034;;4,4;
201209;LFLL;LFSB;0,114;0,159;5,1;5,0
201209;LFLL;EKCH;0,167;;10,1;
201209;LFLL;LSZH;0,067;;5,1;
201209;LFLL;LIRF;0,125;;8,3;
201209;LFLL;LKPR;0,033;;2,4;
201209;LFLL;LEBL;0,080;;5,9;
201209;LFLL;EBBR;0,158;;8,9;
201209;LFLL;LFMN;0,083;0,063;4,8;4,2
201209;LFLL;LFPG;0,046;0,052;2,9;2,4
201209;LFLL;LFST;0,067;0,053;3,0;1,7
201209;LFLL;EIDW;0,042;;3,0;
201209;LFLL;LFQQ;0,063;;2,9;
201209;LFLL;LFJL;0,101;;4,2;
201209;LFLL;LFRS;0,066;0,060;5,6;4,6
201209;LFLL;LFBZ;0,000;0,012;1,3;1,4
201209;LFLL;LFLC;0,021;;1,1;
201209;LFLL;LFBP;0,051;;2,6;
201209;LFLL;LIPE;0,029;;2,4;
201209;LFLL;LFBD;0,048;0,043;4,4;3,8
201209;LFLL;LFMT;0,029;0,043;2,5;2,7
201209;LFLL;EHAM;0,034;;2,9;
201209;LFLL;LFRH;0,054;;3,1;
201209;LFLL;LFML;0,046;0,056;2,8;3,6
201209;LFLL;LIPZ;0,076;;3,9;
201209;LFLL;LIMC;0,115;;6,1;
201209;LFLL;LFBO;0,053;0,053;4,4;3,6
201209;LFLL;EDDL;0,095;;5,0;
201209;LFLL;EDDS;0,032;;2,9;
201209;LFLL;LFKF;0,100;;3,5;
201209;LFLL;LFKJ;0,087;0,043;6,0;4,9
201209;LFLL;LFRB;0,040;;3,8;
201209;LFLL;LPPT;0,365;;27,6;
201209;LFLL;LFPO;0,111;0,123;7,0;6,6
201209;LFLL;LFRN;0,057;;3,2;
201209;LFLL;EGKK;0,073;;2,8;
201209;LFLL;EDDB;0,235;;15,4;
201209;LFLL;LEMD;0,171;;9,4;
201209;LFLL;LPPR;0,182;;6,6;
201209;LFLL;LFOH;0,019;;1,3;
201209;LFLL;LOWW;0,080;;7,0;
201209;LFLL;EGSS;0,200;;10,6;
201209;LFLL;LFKB;0,067;;3,9;
201209;LFLL;GMMN;0,222;;14,1;
201209;LFLL;GMMX;0,038;;2,3;
201209;LFLL;EDDM;0,157;;8,2;
201209;LFLL;GMAD;0,000;;3,8;
201209;LFLL;LEPA;0,200;;5,7;
201209;LFLL;ESGG;0,000;;1,5;
201209;LFLL;LFRK;0,026;;2,8;
201209;LFLL;EDDT;0,048;;2,0;
201209;LFLL;LFBL;0,063;;5,0;
201209;LFLL;LFBI;0,022;;3,5;
201209;LFLL;DTTA;0,478;;36,3;
201209;LFLL;LGIR;0,385;;19,1;
201209;LFLL;DTTJ;0,250;;32,5;
201209;LFLL;EDDF;0,139;;8,7;
201209;LFLL;EGLL;0,200;;8,7;
201209;LFLL;DABB;0,091;;13,0;
201209;LFLL;DAAG;0,393;;26,8;
201209;LFLL;DAOO;0,444;;36,4;
201209;LFLL;DTMB;0,500;;39,7;
201209;LFLL;DAAS;0,450;;21,8;
201209;LFLL;DABC;0,360;;16,5;
201209;LFLL;LROP;0,059;;3,8;
201209;LFLL;LTBA;0,250;;9,8;
201209;LFLL;CYUL;0,235;;18,4;
201209;LFLL;DAAE;0,667;;32,7;
201209;EBBR;LFLL;;0,095;;7,4
201209;EBBR;LFMN;;0,240;;11,4
201209;EBBR;LFPG;;0,442;;18,2
201209;EBBR;LFST;;0,167;;12,3
201209;EBBR;LFRS;;0,044;;2,1
201209;EBBR;LFML;;0,053;;3,1
201209;EBBR;LFBO;;0,130;;7,2
201209;LSZH;LFLL;;0,142;;6,6
201209;LSZH;LFMN;;0,217;;8,7
201209;LSZH;LFPG;;0,189;;8,4
201209;LSZH;LFPO;;0,261;;10,7
201209;LSGG;LFMN;;0,107;;4,9
201209;LSGG;LFPG;;0,070;;3,4
201209;LSGG;LFRS;;0,161;;6,0
201209;LSGG;LFBZ;;0,214;;22,0
201209;LSGG;LFBD;;0,140;;6,7
201209;LSGG;LFBO;;0,095;;2,0
201209;LSGG;LFKJ;;0,300;;21,3
201209;LSGG;LFPO;;0,065;;5,5
201209;EGCC;LFMN;;0,111;;3,4
201209;EGCC;LFPG;;0,101;;6,7
201209;EGCC;LFRS;;0,200;;4,9
201209;EGCC;LFBO;;0,000;;0,4
201209;EGCC;LFOB;;0,000;;3,4
201209;LHBP;LFPG;;0,078;;4,7
201209;LHBP;LFOB;;0,147;;4,9
201209;LFPG;LFSB;0,078;0,078;5,7;4,1
201209;LFPG;EKCH;0,102;;6,1;
201209;LFPG;EDDH;0,108;;6,1;
201209;LFPG;LSZH;0,200;;9,4;
201209;LFPG;LIRF;0,179;;10,2;
201209;LFPG;LFLL;0,161;0,109;6,7;5,5
201209;LFPG;LKPR;0,132;;6,9;
201209;LFPG;LEBL;0,164;;8,1;
201209;LFPG;EBBR;0,373;;14,9;
201209;LFPG;LFMN;0,160;0,175;8,5;8,4
201209;LFPG;LSGG;0,148;;6,3;
201209;LFPG;LHBP;0,237;;9,3;
201209;LFPG;EGCC;0,130;;8,5;
201209;LFPG;LFST;0,108;0,042;5,9;2,8
201209;LFPG;EIDW;0,114;;8,0;
201209;LFPG;EICK;0,200;;8,0;
201209;LFPG;LFRS;0,098;0,067;5,7;4,3
201209;LFPG;LFBZ;0,037;0,000;1,3;0,7
201209;LFPG;LFLC;0,130;;5,7;
201209;LFPG;LFBP;0,111;;8,1;
201209;LFPG;LIPE;0,191;;8,3;
201209;LFPG;LFBD;0,161;0,114;8,7;6,8
201209;LFPG;LFMT;0,067;0,075;4,8;4,7
201209;LFPG;EHAM;0,107;;5,7;
201209;LFPG;LFML;0,182;0,116;7,9;5,5
201209;LFPG;LIPZ;0,219;;9,8;
201209;LFPG;LIMC;0,211;;9,1;
