ANMOIS;DEP;ARR;NVOLS;PAX_FS;FSC;ZON
201301;BIKF;LFPG;24;3145;MC;I
201301;BKPR;LFSB;45;6192;MC;I
201301;CYUL;LFPG;119;34274;LC;I
201301;CYYZ;LFPG;57;12029;LC;I
201301;DAAE;LFLL;8;845;MC;I
201301;DAAE;LFML;13;889;MC;I
201301;DAAE;LFPO;40;4355;MC;I
201301;DAAG;LFBD;8;892;MC;I
201301;DAAG;LFBO;21;1902;MC;I
201301;DAAG;LFJL;8;999;MC;I
201301;DAAG;LFLL;63;6732;MC;I
201301;DAAG;LFML;178;11291;MC;I
201301;DAAG;LFMN;18;1197;MC;I
201301;DAAG;LFPG;189;19503;MC;I
201301;DAAG;LFPO;230;30753;MC;I
201301;DAAG;LFQQ;17;2354;MC;I
201301;DAAG;LFSB;4;538;MC;I
201301;DAAS;LFLL;28;3076;MC;I
201301;DAAS;LFML;12;741;MC;I
201301;DAAS;LFPO;28;2761;MC;I
201301;DAAS;LFSB;5;537;MC;I
201301;DABB;LFLL;9;832;MC;I
201301;DABB;LFML;27;2515;MC;I
201301;DABB;LFPG;8;761;MC;I
201301;DABB;LFPO;17;1619;MC;I
201301;DABC;LFLL;21;1977;MC;I
201301;DABC;LFML;49;3602;MC;I
201301;DABC;LFMN;9;746;MC;I
201301;DABC;LFPO;25;2601;MC;I
201301;DABC;LFSB;17;1809;MC;I
201301;DABT;LFPO;9;762;MC;I
201301;DAOI;LFML;17;1298;MC;I
201301;DAOI;LFPG;7;640;MC;I
201301;DAON;LFML;13;1114;MC;I
201301;DAON;LFPO;35;3894;MC;I
201301;DAOO;LFBO;26;2974;MC;I
201301;DAOO;LFLL;28;3052;MC;I
201301;DAOO;LFML;41;4230;MC;I
201301;DAOO;LFPG;34;3525;MC;I
201301;DAOO;LFPO;62;8173;MC;I
201301;DAOO;LFQQ;7;765;MC;I
201301;DAOO;LFSB;5;546;MC;I
201301;DAUB;LFPO;8;945;MC;I
201301;DBBB;LFPG;19;4569;LC;I
201301;DFFD;LFPG;9;1740;LC;I
201301;DIAP;LFPG;31;7534;LC;I
201301;DNAA;LFPG;31;5548;LC;I
201301;DNMM;LFPG;30;5683;LC;I
201301;DRRN;LFPG;25;3781;LC;I
201301;DTMB;LFLL;23;2766;MC;I
201301;DTMB;LFML;8;845;MC;I
201301;DTMB;LFMN;12;1522;MC;I
201301;DTMB;LFPO;40;5702;MC;I
201301;DTTA;LFBD;8;929;MC;I
201301;DTTA;LFBO;33;2976;MC;I
201301;DTTA;LFLL;47;5260;MC;I
