ANMOIS;APT;FSC;ZON;CAT;MVT;PAX;PEQ;CO2;NOX;COVNM;TSP
200701;LFPG;LC;I;B;311;27437;27917;0,446;1,897;0,277;0,071
200701;LFPG;LC;I;C;7686;1597021;2715721;31,848;176,145;23,109;5,055
200701;LFPG;MC;I;A;8031;281286;331460;4,900;12,587;3,220;0,778
200701;LFPG;MC;I;B;21116;1867079;1912347;25,676;98,076;10,270;4,076
200701;LFPG;MC;I;C;1411;109053;478582;4,110;21,743;2,821;0,652
200701;LFPG;LC;O;C;76;22368;32286;0,317;2,295;0,090;0,050
200701;LFPG;CC;M;A;718;18855;26098;0,331;0,822;0,479;0,053
200701;LFPG;CC;M;B;4158;373027;522123;4,728;16,796;2,187;0,750
200701;LFPG;CC;M;C;110;1499;40004;0,275;1,449;0,064;0,044
200701;LFPO;LC;I;A;1;4;4;0,001;0,001;0,000;0,000
200701;LFPO;LC;I;B;191;16741;18187;0,235;0,988;0,081;0,037
200701;LFPO;LC;I;C;194;64444;70991;0,700;3,600;0,153;0,111
200701;LFPO;MC;I;A;520;12412;12412;0,258;0,640;0,152;0,041
200701;LFPO;MC;I;B;6129;610144;629553;6,682;29,706;1,820;1,061
200701;LFPO;MC;I;C;361;55266;72508;0,972;5,306;0,767;0,154
200701;LFPO;LC;O;C;670;253682;286616;2,698;17,075;1,165;0,428
200701;LFPO;CC;M;A;2173;57365;57392;0,691;1,933;0,745;0,110
200701;LFPO;CC;M;B;9102;934913;938838;9,086;37,561;3,179;1,442
200701;LFPO;CC;M;C;19;5189;5415;0,087;0,467;0,008;0,014
200702;LFPG;LC;I;A;3;4;790;0,001;0,004;0,001;0,000
200702;LFPG;LC;I;B;304;27143;27643;0,432;1,819;0,268;0,069
200702;LFPG;LC;I;C;6853;1406205;2558129;28,581;157,747;20,423;4,537
200702;LFPG;MC;I;A;7365;271278;316124;4,433;11,359;2,937;0,704
200702;LFPG;MC;I;B;19391;1785100;1829902;23,546;90,178;9,257;3,737
200702;LFPG;MC;I;C;1335;98141;466174;3,935;21,041;2,786;0,625
200702;LFPG;LC;O;C;70;18153;26008;0,287;2,016;0,078;0,046
200702;LFPG;CC;M;A;1;0;0;0,000;0,001;0,001;0,000
200702;LFPG;CC;M;A;653;16162;23634;0,284;0,699;0,442;0,045
200702;LFPG;CC;M;B;3818;340175;469421;4,309;15,229;2,035;0,684
200702;LFPG;CC;M;C;111;1006;38064;0,270;1,459;0,055;0,043
200702;LFPO;LC;I;B;144;12037;13057;0,177;0,751;0,066;0,028
200702;LFPO;LC;I;C;193;66685;75078;0,725;3,776;0,147;0,115
200702;LFPO;MC;I;A;560;13680;13680;0,279;0,688;0,149;0,044
200702;LFPO;MC;I;B;5639;590057;610154;6,154;27,566;1,716;0,977
200702;LFPO;MC;I;C;316;56234;73167;0,920;5,026;0,612;0,146
200702;LFPO;LC;O;C;579;217459;251384;2,321;14,731;0,988;0,368
200702;LFPO;CC;M;A;1;0;0;0,000;0,000;0,000;0,000
200702;LFPO;CC;M;A;1984;54296;54356;0,632;1,751;0,680;0,100
200702;LFPO;CC;M;B;8541;870186;873943;8,514;34,981;3,021;1,351
200702;LFPO;CC;M;C;23;5552;5788;0,104;0,563;0,012;0,016
200703;LFPG;LC;I;A;5;21;122;-0,045;-0,104;0,000;-0,007
200703;LFPG;LC;I;B;332;28648;29058;0,471;1,996;0,295;0,075
200703;LFPG;LC;I;C;7817;1696804;3060099;32,570;179,410;23,097;5,170
200703;LFPG;MC;I;A;8197;320349;395645;4,906;12,561;3,308;0,779
200703;LFPG;MC;I;B;21917;2200285;2252200;26,596;101,893;10,780;4,222
200703;LFPG;MC;I;C;1510;130026;521262;4,449;24,080;2,922;0,706
200703;LFPG;LC;O;C;77;23495;32264;0,323;2,263;0,109;0,051
200703;LFPG;CC;M;A;803;22368;33412;0,365;0,917;0,536;0,058
200703;LFPG;CC;M;B;4206;399725;553817;4,780;16,987;2,234;0,759
200703;LFPG;CC;M;C;118;865;42030;0,290;1,603;0,062;0,046
200703;LFPO;LC;I;A;2;12;12;0,001;0,003;0,000;0,000
200703;LFPO;LC;I;B;159;14373;15553;0,197;0,847;0,072;0,031
200703;LFPO;LC;I;C;225;75502;86017;0,837;4,403;0,186;0,133
200703;LFPO;MC;I;A;682;19715;19715;0,338;0,835;0,186;0,054
200703;LFPO;MC;I;B;6352;717285;739249;6,984;31,630;1,942;1,109
200703;LFPO;MC;I;C;378;70936;90807;1,080;5,755;0,734;0,171
200703;LFPO;LC;O;C;656;248851;305471;2,618;17,152;1,011;0,416
200703;LFPO;CC;M;A;2257;66678;66698;0,712;1,979;0,772;0,113
200703;LFPO;CC;M;B;9458;1043321;1048027;9,430;38,864;3,342;1,497
200703;LFPO;CC;M;C;14;2990;3762;0,059;0,320;0,006;0,009
200704;LFPG;LC;I;A;1;3;3;0,002;0,005;0,001;0,000
200704;LFPG;LC;I;B;316;25080;25556;0,449;1,891;0,277;0,071
200704;LFPG;LC;I;C;7681;1672555;2925917;32,147;176,803;23,047;5,103
200704;LFPG;MC;I;A;7513;312903;360296;4,506;11,681;2,967;0,715
200704;LFPG;MC;I;B;22787;2501800;2547320;27,856;107,554;11,061;4,422
200704;LFPG;MC;I;C;1490;164231;480835;4,275;23,034;2,594;0,679
200704;LFPG;LC;O;C;68;21375;28186;0,283;2,066;0,052;0,045
200704;LFPG;CC;M;C;1;0;0;0,001;0,004;0,001;0,000
200704;LFPG;CC;M;A;841;26792;32369;0,431;1,108;0,570;0,068
200704;LFPG;CC;M;B;4021;399701;526166;4,614;16,585;2,019;0,732
200704;LFPG;CC;M;C;96;1321;32441;0,236;1,294;0,051;0,038
200704;LFPO;LC;I;A;2;12;12;0,001;0,005;0,000;0,000
200704;LFPO;LC;I;B;172;14807;15986;0,209;0,862;0,073;0,033
200704;LFPO;LC;I;C;214;69342;78455;0,771;3,966;0,170;0,122
200704;LFPO;MC;I;A;551;17646;17646;0,274;0,685;0,148;0,044
200704;LFPO;MC;I;B;6352;761059;780417;6,961;31,423;1,957;1,105
200704;LFPO;MC;I;C;511;100572;124237;1,442;7,566;1,104;0,229
200704;LFPO;LC;O;C;629;231313;290094;2,533;16,809;0,923;0,402
200704;LFPO;CC;M;A;1;0;0;0,000;0,000;0,000;0,000
200704;LFPO;CC;M;A;1959;59764;59815;0,638;1,784;0,643;0,101
200704;LFPO;CC;M;B;8860;1007560;1011769;8,879;36,838;3,090;1,409
200704;LFPO;CC;M;C;18;4228;4850;0,069;0,382;0,007;0,011
200705;LFPG;LC;I;B;320;22862;23387;0,453;1,897;0,282;0,072
200705;LFPG;LC;I;C;7957;1637232;2853114;32,991;182,046;23,046;5,237
200705;LFPG;MC;I;A;7981;316579;374410;4,728;12,236;3,118;0,751
200705;LFPG;MC;I;B;23663;2466575;2515705;28,819;111,397;11,679;4,574
200705;LFPG;MC;I;C;1526;139788;485436;4,428;23,832;2,935;0,703
200705;LFPG;LC;O;C;64;20800;28967;0,269;1,990;0,039;0,043
200705;LFPG;CC;M;B;1;108;108;0,000;0,001;0,001;0,000
