ANMOIS;DEP;ARR;NVOLS;PAX_FS;FSC;ZON
199801;BKPR;LFSB;19;2720;MC;I
199801;CYUL;LFPG;85;19511;LC;I
199801;CYUL;LFPO;1;520;LC;I
199801;CYYZ;LFPG;58;7175;LC;I
199801;DAAE;LFPG;13;1115;MC;I
199801;DAAG;LFLL;23;1363;MC;I
199801;DAAG;LFML;32;3120;MC;I
199801;DAAG;LFPG;63;8299;MC;I
199801;DAAG;LFQQ;6;517;MC;I
199801;DABB;LFML;12;883;MC;I
199801;DABC;LFLL;17;1367;MC;I
199801;DABC;LFML;31;2616;MC;I
199801;DABC;LFPG;10;938;MC;I
199801;DAON;LFPG;6;649;MC;I
199801;DAOO;LFLL;11;1089;MC;I
199801;DAOO;LFML;14;1514;MC;I
199801;DAOO;LFPG;14;1832;MC;I
199801;DBBB;LFPG;9;1634;LC;I
199801;DBBB;LFPO;2;742;LC;I
199801;DFFD;LFPG;39;3509;LC;I
199801;DFFD;LFPO;2;580;LC;I
199801;DIAP;LFBD;4;530;LC;I
199801;DIAP;LFLL;4;1458;LC;I
199801;DIAP;LFML;4;584;LC;I
199801;DIAP;LFPG;38;5505;LC;I
199801;DNMM;LFPG;19;4040;LC;I
199801;DNPO;LFPG;9;921;LC;I
199801;DRRN;LFPG;13;1607;LC;I
199801;DTMB;LFLL;9;1120;MC;I
199801;DTMB;LFML;8;713;MC;I
199801;DTMB;LFPG;22;2260;MC;I
199801;DTTA;LFBD;10;547;MC;I
199801;DTTA;LFBO;14;1509;MC;I
199801;DTTA;LFLL;46;4193;MC;I
199801;DTTA;LFML;69;6346;MC;I
199801;DTTA;LFMN;39;3504;MC;I
199801;DTTA;LFPG;26;3880;MC;I
199801;DTTA;LFPO;166;12226;MC;I
199801;DTTA;LFST;10;757;MC;I
199801;DTTJ;LFLL;4;692;MC;I
199801;DTTJ;LFPG;16;2210;MC;I
199801;DTTJ;LFPO;21;2713;MC;I
199801;DTTJ;LFSB;5;626;MC;I
199801;DTTX;LFPO;9;701;MC;I
199801;DTTZ;LFLL;5;551;MC;I
199801;DTTZ;LFPO;13;1671;MC;I
199801;DXXX;LFPG;10;1663;LC;I
199801;EBBR;LFBD;80;2594;MC;I
199801;EBBR;LFBO;93;1851;MC;I
199801;EBBR;LFLL;166;5398;MC;I
199801;EBBR;LFML;87;3274;MC;I
199801;EBBR;LFMN;147;6929;MC;I
199801;EBBR;LFPG;286;13069;MC;I
199801;EBBR;LFPO;98;2288;MC;I
199801;EBBR;LFRS;77;1500;MC;I
199801;EBBR;LFSB;147;2187;MC;I
199801;EBBR;LFST;98;3378;MC;I
199801;EDDB;LFSB;75;1271;MC;I
199801;EDDF;LFLL;134;5839;MC;I
199801;EDDF;LFMN;113;5314;MC;I
199801;EDDF;LFPG;381;28991;MC;I
199801;EDDF;LFPO;61;3531;MC;I
199801;EDDF;LFSB;121;3091;MC;I
199801;EDDH;LFPG;226;9886;MC;I
199801;EDDH;LFSB;55;883;MC;I
199801;EDDK;LFPG;271;5377;MC;I
199801;EDDK;LFSB;101;555;MC;I
199801;EDDL;LFLL;50;1451;MC;I
199801;EDDL;LFMN;55;1073;MC;I
199801;EDDL;LFPG;237;12125;MC;I
199801;EDDL;LFSB;71;1668;MC;I
199801;EDDM;LFBO;87;2080;MC;I
199801;EDDM;LFLL;132;2638;MC;I
199801;EDDM;LFML;83;2221;MC;I
199801;EDDM;LFMN;159;3054;MC;I
199801;EDDM;LFPG;322;18925;MC;I
199801;EDDM;LFSB;138;2068;MC;I
199801;EDDN;LFPG;117;3271;MC;I
199801;EDDN;LFSB;87;761;MC;I
199801;EDDS;LFLL;35;686;MC;I
199801;EDDS;LFPG;214;9433;MC;I
199801;EDDS;LFSB;3;526;MC;I
199801;EDDT;LFPG;223;10946;MC;I
199801;EDDT;LFST;43;791;MC;I
199801;EDDV;LFPG;157;4955;MC;I
199801;EDDV;LFSB;69;660;MC;I
199801;EDDW;LFPG;40;836;MC;I
199801;EDHI;LFBO;35;784;MC;I
199801;EDLW;LFPG;72;547;MC;I
199801;EFHF;LFPG;94;6527;MC;I
199801;EGAA;LFLL;11;2258;MC;I
199801;EGBB;LFBO;12;1682;MC;I
199801;EGBB;LFLB;5;503;MC;I
199801;EGBB;LFLL;39;2869;MC;I
199801;EGBB;LFLS;6;1104;MC;I
199801;EGBB;LFPG;277;14049;MC;I
199801;EGBB;LFSB;25;928;MC;I
199801;EGCC;LFBO;20;4058;MC;I
199801;EGCC;LFLL;36;6485;MC;I
199801;EGCC;LFLS;10;2057;MC;I
199801;EGCC;LFOB;15;1489;MC;I
199801;EGCC;LFPG;257;17564;MC;I
199801;EGCC;LFSB;51;1219;MC;I
199801;EGFF;LFPG;64;945;MC;I
199801;EGGD;LFBD;5;990;MC;I
199801;EGGD;LFLL;10;1408;MC;I
199801;EGGD;LFPG;78;1894;MC;I
199801;EGGP;LFMN;32;1677;MC;I
199801;EGGW;LFLL;10;1882;MC;I
199801;EGGW;LFMN;110;6459;MC;I
199801;EGHI;LFPG;83;1637;MC;I
199801;EGJJ;LFPG;30;580;MC;I
199801;EGJJ;LFRD;81;1078;MC;I
199801;EGKK;LFBD;93;3373;MC;I
199801;EGKK;LFBO;136;12700;MC;I
199801;EGKK;LFBT;5;763;MC;I
199801;EGKK;LFLB;15;1444;MC;I
199801;EGKK;LFLL;78;17998;MC;I
199801;EGKK;LFLS;15;3347;MC;I
199801;EGKK;LFML;92;4185;MC;I
199801;EGKK;LFMT;31;1300;MC;I
199801;EGKK;LFRS;86;1554;MC;I
199801;EGLL;LFBO;83;2993;MC;I
199801;EGLL;LFLL;172;9843;MC;I
199801;EGLL;LFMN;178;13926;MC;I
199801;EGLL;LFPG;1315;81328;MC;I
199801;EGLL;LFPO;179;14117;MC;I
199801;EGLL;LFSB;149;7549;MC;I
199801;EGLL;LFST;66;1310;MC;I
199801;EGNM;LFPG;51;1017;MC;I
199801;EGNT;LFLL;7;1467;MC;I
199801;EGNT;LFPG;80;1332;MC;I
199801;EGNV;LFLL;3;527;MC;I
199801;EGNX;LFPG;97;3415;MC;I
199801;EGPF;LFBO;4;660;MC;I
199801;EGPH;LFPG;32;1995;MC;I
199801;EGSS;LFLL;10;1065;MC;I
199801;EGTG;LFBO;21;768;MC;I
199801;EHAM;LFBO;93;3184;MC;I
199801;EHAM;LFLB;5;655;MC;I
199801;EHAM;LFLC;22;677;MC;I
199801;EHAM;LFLL;91;4792;MC;I
199801;EHAM;LFML;29;708;MC;I
199801;EHAM;LFMN;104;6665;MC;I
199801;EHAM;LFPG;458;29873;MC;I
199801;EHAM;LFPO;67;3104;MC;I
199801;EHAM;LFSB;184;4127;MC;I
199801;EHAM;LFST;68;892;MC;I
199801;EHEH;LFPG;63;1779;MC;I
199801;EHRD;LFPG;63;1686;MC;I
199801;EICK;LFBO;5;555;MC;I
199801;EIDW;LFBO;19;2616;MC;I
199801;EIDW;LFLB;5;501;MC;I
199801;EIDW;LFOB;81;7309;MC;I
199801;EIDW;LFPG;172;11878;MC;I
199801;EKBI;LFLL;5;516;MC;I
199801;EKCH;LFLS;16;2044;MC;I
199801;EKCH;LFMN;32;2595;MC;I
199801;EKCH;LFSB;46;822;MC;I
199801;EKRK;LFLL;27;1107;MC;I
199801;EKRK;LFPG;239;15466;MC;I
199801;ELLX;LFPG;111;3257;MC;I
199801;ENFB;LFPG;145;6831;MC;I
199801;EPKK;LFPG;12;586;MC;I
199801;EPPO;LFLL;4;528;MC;I
199801;EPWA;LFLL;10;1306;MC;I
199801;EPWA;LFPG;109;5167;MC;I
199801;ESGG;LFPG;55;2396;MC;I
199801;ESSA;LFPG;220;11944;MC;I
199801;EYVI;LFPG;13;620;MC;I
199801;FAOR;LFPG;18;5803;LC;I
199801;FEFF;LFPG;4;832;LC;I
199801;FIMP;LFPG;29;7686;LC;I
199801;FKKD;LFPG;22;4334;LC;I
199801;FMCN;LFPO;1;577;LC;I
199801;FMEE;LFBO;5;1562;LC;O
199801;FMEE;LFLL;5;1442;LC;O
199801;FMEE;LFML;12;3656;LC;O
199801;FMEE;LFPG;21;8825;LC;O
199801;FMEE;LFPO;77;29811;LC;O
199801;FMMI;LFPG;9;1811;LC;I
199801;FMMI;LFPO;4;2000;LC;I
199801;FNLU;LFPG;8;1183;LC;I
199801;FOOL;LFML;5;1170;LC;I
199801;FOOL;LFMN;3;538;LC;I
199801;FOOL;LFPG;9;1383;LC;I
199801;FSIA;LFPG;17;2567;LC;I
199801;FTTJ;LFPG;17;2117;LC;I
199801;FVCP;LFPG;9;1874;LC;I
199801;GABS;LFPG;16;2133;LC;I
199801;GCFV;LFSB;6;672;MC;I
199801;GCLP;LFLL;6;811;MC;I
199801;GCLP;LFSB;15;1871;MC;I
199801;GCRR;LFPG;5;736;MC;I
199801;GCRR;LFSB;12;1564;MC;I
199801;GCTS;LFBO;6;568;MC;I
199801;GCTS;LFLL;13;2075;MC;I
199801;GCTS;LFRS;13;2062;MC;I
199801;GCTS;LFSB;16;1974;MC;I
199801;GCXO;LFPG;13;2028;MC;I
199801;GCXO;LFPO;13;2846;MC;I
199801;GMAD;LFPG;17;1628;MC;I
199801;GMAD;LFPO;9;871;MC;I
199801;GMFF;LFPO;9;876;MC;I
199801;GMFO;LFML;9;699;MC;I
199801;GMFO;LFPO;13;1128;MC;I
199801;GMMC;LFPG;19;878;MC;I
199801;GMMC;LFPO;182;14629;MC;I
199801;GMME;LFPO;51;3287;MC;I
199801;GMMN;LFBD;17;1120;MC;I
199801;GMMN;LFBO;13;966;MC;I
199801;GMMN;LFLL;14;1065;MC;I
199801;GMMN;LFML;37;3240;MC;I
199801;GMMN;LFMN;9;800;MC;I
199801;GMMN;LFST;6;516;MC;I
199801;GMMX;LFBO;5;778;MC;I
199801;GMMX;LFML;8;906;MC;I
199801;GMMX;LFPG;47;6160;MC;I
199801;GMMX;LFPO;32;3953;MC;I
199801;GOGS;LFPG;3;505;LC;I
199801;GOOY;LFBD;10;1366;LC;I
199801;GOOY;LFBO;16;2479;LC;I
199801;GOOY;LFLL;4;976;LC;I
199801;GOOY;LFML;15;1789;LC;I
199801;GOOY;LFPG;74;11708;LC;I
199801;GOOY;LFPO;17;3522;LC;I
199801;GOOY;LFRS;10;2231;LC;I
199801;GQNN;LFPG;18;2472;LC;I
199801;GVAC;LFPG;5;820;LC;I
199801;HDAM;LFPO;2;740;LC;I
199801;HECA;LFPG;40;3610;MC;I
199801;HECA;LFPO;29;4589;MC;I
199801;HKEL;LFPG;4;1024;LC;I
199801;HKMO;LFSB;5;1249;LC;I
199801;HKNA;LFPG;18;3046;LC;I
199801;HTKJ;LFPO;5;2251;LC;I
199801;KATL;LFPG;34;4491;LC;I
199801;KBOS;LFPO;31;3355;LC;I
199801;KCVG;LFPG;22;2511;LC;I
199801;KDFW;LFPO;31;4181;LC;I
199801;KDTW;LFPG;31;5906;LC;I
199801;KIAD;LFPG;62;12967;LC;I
199801;KIAH;LFPG;69;9807;LC;I
199801;KJFK;LFMN;22;2666;LC;I
199801;KJFK;LFPG;265;38583;LC;I
199801;KJFK;LFPO;36;6181;LC;I
199801;KLAX;LFPG;43;11213;LC;I
199801;KLAX;LFPO;15;2892;LC;I
199801;KMIA;LFPG;33;10439;LC;I
199801;KMIA;LFPO;31;4584;LC;I
199801;KOAK;LFPO;4;1403;LC;I
199801;KORD;LFPG;71;8875;LC;I
199801;KORD;LFPO;31;2916;LC;I
199801;KPHL;LFPG;63;7807;LC;I
199801;KSFO;LFPG;63;10139;LC;I
199801;KSTL;LFPG;31;3106;LC;I
199801;LBSF;LFPG;25;1483;MC;I
199801;LCLK;LFPG;12;1583;MC;I
199801;LDZA;LFPG;30;1427;MC;I
199801;LEAL;LFPO;17;1440;MC;I
199801;LEBB;LFPG;31;729;MC;I
199801;LEBB;LFSB;30;653;MC;I
199801;LEBL;LFLL;66;1007;MC;I
199801;LEBL;LFML;45;660;MC;I
199801;LEBL;LFMN;132;2183;MC;I
199801;LEBL;LFMT;31;501;MC;I
199801;LEBL;LFPG;191;15544;MC;I
199801;LEBL;LFPO;144;10437;MC;I
199801;LEBL;LFSB;79;1349;MC;I
199801;LEIB;LFPG;5;555;MC;I
199801;LEMD;LFBD;77;1506;MC;I
199801;LEMD;LFBO;86;2114;MC;I
199801;LEMD;LFLL;84;2410;MC;I
199801;LEMD;LFML;31;1631;MC;I
199801;LEMD;LFMN;61;2471;MC;I
199801;LEMD;LFPG;339;30037;MC;I
199801;LEMD;LFPO;150;13799;MC;I
199801;LEMD;LFSB;43;691;MC;I
199801;LEMG;LFPG;14;1335;MC;I
199801;LEMG;LFPO;22;1943;MC;I
199801;LEPA;LFPG;7;661;MC;I
199801;LEPA;LFSB;38;1303;MC;I
199801;LEVC;LFPO;30;2417;MC;I
199801;LEVD;LFPO;25;2258;MC;I
199801;LFBA;LFPO;64;881;CC;M
199801;LFBD;EBBR;82;2658;MC;I
199801;LFBD;EGGD;3;670;MC;I
199801;LFBD;EGKK;95;3722;MC;I
199801;LFBD;GMMN;14;711;MC;I
199801;LFBD;GOOY;10;1195;LC;I
199801;LFBD;LEMD;76;1333;MC;I
199801;LFBD;LFBO;13;693;CC;M
199801;LFBD;LFLC;54;1047;CC;M
199801;LFBD;LFLL;139;7933;CC;M
199801;LFBD;LFML;111;4572;CC;M
199801;LFBD;LFMN;110;3050;CC;M
199801;LFBD;LFMT;56;1009;CC;M
199801;LFBD;LFPG;189;15011;CC;M
199801;LFBD;LFPO;528;48088;CC;M
199801;LFBD;LFQQ;52;787;CC;M
199801;LFBD;LFRN;43;508;CC;M
199801;LFBD;LFRS;70;1179;CC;M
199801;LFBD;LFST;54;1524;CC;M
199801;LFBE;LFPO;68;670;CC;M
199801;LFBH;LFPO;64;1279;CC;M
199801;LFBI;LFLL;38;1088;CC;M
199801;LFBL;LFLL;49;1022;CC;M
199801;LFBL;LFPG;52;601;CC;M
199801;LFBL;LFPO;75;2617;CC;M
199801;LFBO;DTTA;13;1517;MC;I
199801;LFBO;EBBR;93;1870;MC;I
199801;LFBO;EDDF;20;562;MC;I
199801;LFBO;EDDM;85;2330;MC;I
199801;LFBO;EDHI;24;809;MC;I
199801;LFBO;EGBB;12;1682;MC;I
199801;LFBO;EGCC;20;3984;MC;I
199801;LFBO;EGKK;135;12791;MC;I
199801;LFBO;EGLL;83;3068;MC;I
199801;LFBO;EGPF;4;658;MC;I
199801;LFBO;EGTG;21;768;MC;I
199801;LFBO;EHAM;91;3504;MC;I
199801;LFBO;EICK;6;768;MC;I
199801;LFBO;EIDW;19;2766;MC;I
199801;LFBO;FMEE;5;1416;LC;O
199801;LFBO;GCTS;10;1081;MC;I
199801;LFBO;GMMN;15;1062;MC;I
199801;LFBO;GMMX;4;641;MC;I
199801;LFBO;GOOY;16;2435;LC;I
199801;LFBO;LEMD;81;1885;MC;I
199801;LFBO;LFBD;17;605;CC;M
199801;LFBO;LFJL;40;614;CC;M
199801;LFBO;LFLL;217;8737;CC;M
199801;LFBO;LFMK;65;890;CC;M
199801;LFBO;LFML;66;2216;CC;M
199801;LFBO;LFMN;158;4132;CC;M
199801;LFBO;LFPG;340;20349;CC;M
199801;LFBO;LFPO;1039;95754;CC;M
199801;LFBO;LFQQ;57;2368;CC;M
199801;LFBO;LFRN;57;1273;CC;M
199801;LFBO;LFRS;53;1832;CC;M
199801;LFBO;LFST;39;500;CC;M
199801;LFBO;LPPT;14;574;MC;I
199801;LFBO;LSGG;71;690;MC;I
199801;LFBO;TFFR;5;1085;LC;O
