ANMOIS;APT;FSC;ZON;CAT;MVT;PAX;PEQ;CO2;NOX;COVNM;TSP
201501;LFPG;LC;I;A;1;0;0;0,001;0,002;0,000;0,000
201501;LFPG;LC;I;B;139;11482;11752;0,196;0,705;0,068;0,031
201501;LFPG;LC;I;C;7887;1870491;2911118;34,920;204,838;16,762;5,543
201501;LFPG;MC;I;A;3483;167103;183401;2,590;6,743;1,527;0,411
201501;LFPG;MC;I;B;18287;2020231;2091521;21,923;82,574;9,584;3,480
201501;LFPG;MC;I;C;1612;130240;520474;5,037;25,889;2,046;0,799
201501;LFPG;LC;O;C;136;50790;62146;0,608;3,925;0,237;0,096
201501;LFPG;CC;M;A;819;36714;41763;0,481;1,366;0,276;0,076
201501;LFPG;CC;M;B;3358;379279;462214;3,998;15,008;1,802;0,635
201501;LFPG;CC;M;C;142;4639;25976;0,349;1,943;0,130;0,055
201501;LFPO;LC;I;B;42;5337;5370;0,048;0,180;0,008;0,008
201501;LFPO;LC;I;C;286;58137;73911;0,821;4,220;0,138;0,130
201501;LFPO;MC;I;A;600;19000;21086;0,159;0,351;0,238;0,025
201501;LFPO;MC;I;B;7238;878755;896827;7,920;32,993;1,866;1,257
201501;LFPO;MC;I;C;169;32043;41902;0,499;2,602;0,390;0,079
201501;LFPO;LC;O;C;807;290546;339656;3,167;19,618;0,885;0,503
201501;LFPO;CC;M;A;1915;64727;67337;0,542;1,640;0,803;0,086
201501;LFPO;CC;M;B;5961;705574;707505;5,758;24,569;1,454;0,914
201502;LFPG;LC;I;A;1;0;0;0,001;0,003;0,000;0,000
201502;LFPG;LC;I;B;111;9006;9308;0,152;0,554;0,054;0,024
201502;LFPG;LC;I;C;7074;1653768;2682891;30,814;183,377;14,748;4,891
201502;LFPG;MC;I;A;3052;150042;164774;2,228;5,850;1,258;0,354
201502;LFPG;MC;I;B;17420;1993969;2066463;20,666;78,284;8,753;3,280
201502;LFPG;MC;I;C;1495;108171;480872;4,576;23,896;1,820;0,726
201502;LFPG;LC;O;C;107;37657;49579;0,464;3,010;0,169;0,074
201502;LFPG;CC;M;A;768;33553;39868;0,440;1,256;0,189;0,070
201502;LFPG;CC;M;B;3140;359111;437434;3,696;14,040;1,539;0,587
201502;LFPG;CC;M;C;136;5191;22165;0,328;1,876;0,127;0,052
201502;LFPO;LC;I;B;32;4494;4507;0,036;0,136;0,006;0,006
201502;LFPO;LC;I;C;240;54426;70126;0,715;3,690;0,121;0,113
201502;LFPO;MC;I;A;610;21040;23124;0,161;0,367;0,211;0,026
201502;LFPO;MC;I;B;6688;856408;875337;7,289;30,211;1,665;1,157
201502;LFPO;MC;I;C;142;24658;36488;0,390;2,100;0,242;0,062
201502;LFPO;LC;O;C;746;285369;333021;2,910;18,232;0,798;0,462
201502;LFPO;CC;M;A;1963;65446;68117;0,549;1,675;0,777;0,087
201502;LFPO;CC;M;B;6029;709254;711052;5,819;25,025;1,398;0,924
201503;LFPG;LC;I;A;3;0;0;0,002;0,008;0,001;0,000
201503;LFPG;LC;I;B;130;10601;10891;0,172;0,643;0,059;0,027
201503;LFPG;LC;I;C;8139;1933690;3140908;34,370;208,003;16,384;5,456
201503;LFPG;MC;I;A;3529;187684;202775;2,544;6,786;1,348;0,404
201503;LFPG;MC;I;B;19803;2355741;2432983;23,027;88,221;9,610;3,655
201503;LFPG;MC;I;C;1626;122932;536766;4,871;25,764;2,012;0,773
201503;LFPG;LC;O;C;112;39281;51422;0,484;3,120;0,182;0,077
201503;LFPG;CC;M;A;869;40127;46994;0,500;1,435;0,222;0,079
201503;LFPG;CC;M;B;3531;401461;487425;4,070;15,565;1,712;0,646
201503;LFPG;CC;M;C;157;6017;26987;0,375;2,116;0,149;0,060
201503;LFPO;LC;I;B;36;4928;4994;0,042;0,159;0,007;0,007
201503;LFPO;LC;I;C;292;55657;73229;0,795;4,127;0,132;0,126
201503;LFPO;MC;I;A;592;20487;21371;0,150;0,325;0,220;0,024
201503;LFPO;MC;I;B;7801;1048392;1072171;8,417;35,351;1,911;1,336
201503;LFPO;MC;I;C;106;18861;28306;0,303;1,772;0,241;0,048
201503;LFPO;LC;O;C;775;287801;352407;2,984;18,969;0,803;0,474
201503;LFPO;CC;M;A;2203;74673;77664;0,591;1,797;0,871;0,094
201503;LFPO;CC;M;B;7301;842347;844263;6,998;30,530;1,536;1,111
201504;LFPG;LC;I;A;1;0;0;0,001;0,001;0,000;0,000
201504;LFPG;LC;I;B;117;9268;9432;0,157;0,584;0,056;0,025
201504;LFPG;LC;I;C;8203;1990014;3064679;34,878;209,827;16,517;5,536
201504;LFPG;MC;I;A;3206;176257;190796;2,426;6,344;1,207;0,385
201504;LFPG;MC;I;B;20597;2572691;2653320;24,162;93,703;9,699;3,835
201504;LFPG;MC;I;C;1747;166546;585800;5,395;29,488;2,207;0,856
201504;LFPG;LC;O;C;117;42084;54289;0,518;3,455;0,208;0,082
201504;LFPG;CC;M;A;695;31492;37756;0,402;1,172;0,157;0,064
201504;LFPG;CC;M;B;3524;424221;499530;4,105;15,686;1,621;0,652
201504;LFPG;CC;M;C;166;6422;33050;0,389;2,203;0,122;0,062
201504;LFPO;LC;I;B;42;4463;4479;0,049;0,176;0,009;0,008
201504;LFPO;LC;I;C;294;56096;73457;0,779;4,016;0,131;0,124
201504;LFPO;MC;I;A;348;17108;17612;0,165;0,441;0,118;0,026
201504;LFPO;MC;I;B;8732;1215852;1236202;9,485;39,700;2,162;1,506
201504;LFPO;MC;I;C;166;35783;47189;0,493;2,743;0,291;0,078
201504;LFPO;LC;O;C;725;270552;341334;2,801;17,943;0,760;0,445
201504;LFPO;CC;M;A;2015;73032;75907;0,576;1,769;0,750;0,091
201504;LFPO;CC;M;B;6839;819079;820771;6,500;27,877;1,529;1,032
201504;LFPO;CC;M;C;2;60;60;0,007;0,048;0,001;0,001
201505;LFPG;LC;I;A;2;0;0;0,002;0,006;0,001;0,000
201505;LFPG;LC;I;B;149;12014;12248;0,202;0,745;0,074;0,032
201505;LFPG;LC;I;C;8642;2066066;3128669;36,244;217,183;16,846;5,753
201505;LFPG;MC;I;A;3692;199582;217844;2,733;7,231;1,291;0,434
201505;LFPG;MC;I;B;22510;2839123;2922851;26,456;102,292;10,769;4,199
201505;LFPG;MC;I;C;1778;168669;600696;5,581;30,592;2,320;0,886
201505;LFPG;LC;O;C;93;34745;47003;0,412;2,913;0,186;0,065
201505;LFPG;CC;M;A;746;33633;39459;0,447;1,302;0,146;0,071
201505;LFPG;CC;M;B;3663;448710;502021;4,256;16,207;1,761;0,675
201505;LFPG;CC;M;C;168;5020;37370;0,417;2,220;0,129;0,066
201505;LFPO;LC;I;B;36;3735;3756;0,044;0,163;0,009;0,007
